StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 960.0 0.0
Dt d 40 50.0 0.0 0.0 960.0 0.0
C98 c1 26 52.0 9.0 218.0 338.0 10.0
C14 c3 5 45.0 10.0 198.0 318.0 10.0
C81 c3 49 58.0 10.0 784.0 904.0 10.0
C88 c3 24 58.0 19.0 561.0 681.0 10.0
C62 c2 65 35.0 3.0 138.0 258.0 10.0
C43 c1 55 85.0 20.0 102.0 222.0 10.0
C93 c2 61 52.0 3.0 317.0 437.0 10.0
C22 c2 40 15.0 40.0 621.0 741.0 10.0
C54 c1 55 60.0 16.0 557.0 677.0 10.0
C79 c3 6 68.0 30.0 39.0 159.0 10.0
P0 p 63 79.0 0.0 0.0 960.0 5.0
param CV := 1000.0 nan nan nan nan
param V := 1.0 nan nan nan nan
