StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 1236.0 0.0
Dt d 40 50.0 0.0 0.0 1236.0 0.0
C61 c3 50 30.0 10.0 980.0 1064.0 90.0
C30 c3 20 55.0 10.0 0.0 1125.0 90.0
C98 c2 58 75.0 20.0 0.0 1115.0 90.0
C59 c3 38 15.0 10.0 66.0 124.0 90.0
C35 c3 5 35.0 10.0 655.0 725.0 90.0
C13 c1 22 75.0 30.0 1042.0 1106.0 90.0
C10 c1 35 66.0 10.0 779.0 845.0 90.0
C44 c3 32 30.0 10.0 0.0 1124.0 90.0
C50 c2 26 32.0 10.0 0.0 1123.0 90.0
C95 c1 62 80.0 30.0 0.0 1108.0 90.0
C18 c2 15 75.0 20.0 0.0 1110.0 90.0
C33 c2 8 40.0 40.0 355.0 437.0 90.0
C85 c3 68 60.0 30.0 0.0 1116.0 90.0
C19 c3 15 80.0 10.0 455.0 513.0 90.0
C40 c3 35 30.0 10.0 143.0 199.0 90.0
P0 p 65 46.0 0.0 0.0 1236.0 45.0
param CV := 200.0 nan nan nan nan
param V := 1.0 nan nan nan nan
