StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35.0 0.0 0.0 1000.0 0.0
Dt d 35 35.0 0.0 0.0 1000.0 0.0
C47 c1 8 56.0 27.0 371.0 819.0 10.0
C87 c1 28 18.0 26.0 535.0 563.0 10.0
C9 c2 55 60.0 16.0 395.0 835.0 10.0
C88 c1 26 52.0 9.0 165.0 617.0 10.0
C46 c2 2 48.0 1.0 46.0 460.0 10.0
C27 c1 35 40.0 16.0 97.0 679.0 10.0
C10 c1 30 60.0 16.0 489.0 787.0 10.0
C70 c1 37 56.0 5.0 22.0 286.0 10.0
C30 c1 40 60.0 21.0 422.0 726.0 10.0
C5 c2 15 30.0 26.0 21.0 535.0 10.0
C22 c3 45 10.0 18.0 607.0 963.0 10.0
C79 c3 57 48.0 23.0 26.0 389.0 10.0
C4 c3 55 20.0 19.0 701.0 883.0 10.0
C63 c3 27 69.0 10.0 360.0 890.0 10.0
C34 c3 65 55.0 14.0 116.0 502.0 10.0
P0 p 48 51.0 0.0 0.0 1000.0 5.0
param CV := 1000.0 nan nan nan nan
param V := 1.0 nan nan nan nan
