StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 3390 0
Dt d 40 50 0 0 3390 0
S0 f 40 50 0 0 3390 0
S1 f 77 52 0 0 3390 0
S7 f 21 83 0 0 3390 0
S13 f 22 34 0 0 3390 0
S15 f 39 26 0 0 3390 0
C96 c3 62 40 10 1808 1968 90
C30 c1 20 55 10 2737 2897 90
C84 c2 70 58 20 321 481 90
C16 c2 20 85 40 693 853 90
C57 c1 38 15 40 0 3264 90
C8 c1 34 60 20 12 172 90
C24 c3 25 50 10 2925 3085 90
C25 c2 22 66 40 1078 1238 90
C10 c1 35 66 10 28 188 90
C6 c2 16 42 20 2544 2704 90
P0 p 64 19 0 0 3390 45
param Q := 77.75
param CV := 700
param r := 1
param g := 3.47
param V := 1
