StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35 0 0 1000 0
Dt d 35 35 0 0 1000 0
S0 f 35 35 0 0 1000 0
S4 f 59 67 0 0 1000 0
S7 f 20 61 0 0 1000 0
S9 f 15 42 0 0 1000 0
S13 f 21 22 0 0 1000 0
C84 c1 11 31 7 0 965 10
C11 c2 20 65 12 0 956 10
C57 c1 32 12 7 0 966 10
C78 c1 61 52 3 648 826 10
C69 c1 37 47 6 0 977 10
C5 c3 15 30 26 21 182 10
C61 c1 12 24 13 329 551 10
C75 c2 49 11 18 0 962 10
C71 c2 57 68 15 0 950 10
C17 c3 5 30 2 0 959 10
P0 p 10 68 0 0 1000 5
param Q := 60.63
param CV := 1000
param r := 1
param g := 0.49
param V := 1
