StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 960 0
Dt d 40 50 0 0 960 0
S0 f 40 50 0 0 960 0
S1 f 77 52 0 0 960 0
S3 f 57 82 0 0 960 0
S11 f 10 28 0 0 960 0
C96 c3 55 54 26 319 355 10
C43 c3 55 85 20 39 490 10
C87 c2 12 24 13 441 441 10
C100 c2 31 67 3 528 528 10
C15 c1 2 40 20 607 739 10
C58 c2 15 10 20 198 406 10
C31 c2 88 35 20 71 689 10
C82 c3 27 43 9 488 650 10
C93 c3 61 52 3 350 404 10
C6 c1 18 75 20 142 494 10
P0 p 52 13 0 0 960 5
param Q := 77.75
param CV := 1000
param r := 1
param g := 0.39
param V := 1
