StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 240 0
Dt d 40 50 0 0 240 0
S0 f 40 50 0 0 240 0
S5 f 31 84 0 0 240 0
S15 f 39 26 0 0 240 0
S17 f 61 14 0 0 240 0
S19 f 77 30 0 0 240 0
C6 c2 18 75 20 53 187 10
C10 c3 10 40 30 54 154 10
C41 c2 58 75 20 66 184 10
C54 c2 55 60 16 100 211 10
C45 c3 20 82 10 38 192 10
C46 c1 18 80 10 70 192 10
C19 c1 42 10 40 64 182 10
C25 c1 35 5 20 79 184 10
C23 c1 38 5 30 55 184 10
C83 c2 37 31 14 74 192 10
C53 c2 20 50 5 20 136 10
C40 c1 60 85 30 96 189 10
C33 c1 85 25 10 68 178 10
C63 c2 65 20 6 60 190 10
C66 c3 41 37 16 14 146 10
P0 p 76 61 0 0 240 5
param Q := 77.75
param CV := 200
param r := 1
param g := 0.39
param V := 1
