StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 1236 0
Dt d 40 50 0 0 1236 0
S0 f 40 50 0 0 1236 0
S1 f 73 52 0 0 1236 0
S2 f 90 55 0 0 1236 0
S3 f 55 79 0 0 1236 0
S4 f 69 89 0 0 1236 0
S5 f 32 80 0 0 1236 0
S6 f 39 96 0 0 1236 0
S7 f 23 80 0 0 1236 0
S8 f 4 83 0 0 1236 0
S9 f 18 58 0 0 1236 0
S10 f 1 56 0 0 1236 0
S11 f 13 31 0 0 1236 0
S12 f -5 38 0 0 1236 0
S13 f 26 37 0 0 1236 0
S14 f 28 13 0 0 1236 0
S15 f 39 31 0 0 1236 0
S16 f 48 11 0 0 1236 0
S17 f 59 17 0 0 1236 0
S18 f 73 23 0 0 1236 0
S19 f 74 32 0 0 1236 0
S20 f 90 44 0 0 1236 0
C1 c2 45 68 10 19 379 90
C2 c1 45 70 30 346 706 90
C3 c2 42 66 10 717 1077 90
C4 c2 42 68 10 440 800 90
C5 c3 42 65 10 770 1130 90
C6 c2 40 69 20 532 892 90
C7 c1 40 66 20 625 985 90
C8 c2 38 68 20 767 1127 90
C9 c3 38 70 10 765 1125 90
C10 c2 35 66 10 632 992 90
C11 c3 35 69 10 725 1085 90
C12 c3 25 85 20 39 399 90
C13 c1 22 75 30 755 1115 90
C14 c1 22 85 10 115 475 90
C15 c2 20 80 40 587 947 90
C16 c3 20 85 40 207 567 90
C17 c1 18 75 20 492 852 90
C18 c2 15 75 20 399 759 90
C19 c1 15 80 10 304 664 90
C20 c1 30 50 10 10 370 90
C21 c3 30 52 20 11 371 90
C22 c1 28 52 20 13 373 90
C23 c3 28 55 10 13 373 90
C24 c1 25 50 10 15 375 90
C25 c1 25 52 40 16 376 90
C26 c3 25 55 10 528 888 90
C27 c1 23 52 10 107 467 90
C28 c1 23 55 20 294 654 90
C29 c2 20 50 10 20 380 90
C30 c2 20 55 10 201 561 90
C31 c3 10 35 20 312 672 90
C32 c2 10 40 30 124 484 90
C33 c1 8 40 40 216 576 90
C34 c3 8 45 20 39 399 90
C35 c3 5 35 10 510 870 90
C36 c3 5 45 10 132 492 90
C37 c2 2 40 20 414 774 90
C38 c2 0 40 30 322 682 90
C39 c1 0 45 20 227 587 90
C40 c3 35 30 10 21 381 90
C41 c1 35 32 10 19 379 90
C42 c1 33 32 20 84 444 90
C43 c1 33 35 10 639 999 90
C44 c3 32 30 10 176 536 90
C45 c2 30 30 10 268 628 90
C46 c2 30 32 30 453 813 90
C47 c1 30 35 10 546 906 90
C48 c1 28 30 10 360 720 90
C49 c1 28 35 10 766 1126 90
C50 c3 26 32 10 763 1123 90
C51 c2 25 30 10 676 1036 90
C52 c3 25 35 10 764 1124 90
C53 c1 44 5 20 294 654 90
C54 c3 42 10 40 659 1019 90
C55 c2 42 15 10 750 1110 90
C56 c2 40 5 30 200 560 90
C57 c2 40 15 40 751 1111 90
C58 c2 38 5 30 110 470 90
C59 c3 38 15 10 36 396 90
C60 c2 35 5 20 110 470 90
C61 c3 50 30 10 763 1123 90
C62 c3 50 35 20 19 379 90
C63 c2 50 40 50 15 375 90
C64 c1 48 30 10 114 474 90
C65 c1 48 40 10 13 373 90
C66 c2 47 35 10 769 1129 90
C67 c1 47 40 10 13 373 90
C68 c1 45 30 10 207 567 90
C69 c1 45 35 10 302 662 90
C70 c3 95 30 30 237 597 90
C71 c2 95 35 20 332 692 90
C72 c2 53 30 10 749 1109 90
C73 c3 92 30 10 187 547 90
C74 c1 53 35 50 20 380 90
C75 c3 45 65 20 16 376 90
C76 c1 90 35 10 427 787 90
C77 c3 88 30 10 387 747 90
C78 c1 88 35 20 519 879 90
C79 c1 87 30 10 296 656 90
C80 c3 85 25 10 483 843 90
C81 c3 85 35 30 612 972 90
C82 c2 75 55 20 314 674 90
C83 c2 72 55 10 407 767 90
C84 c1 70 58 20 500 860 90
C85 c1 68 60 30 593 953 90
C86 c2 66 55 10 27 387 90
C87 c3 65 55 20 26 386 90
C88 c1 65 60 30 686 1046 90
C89 c2 63 58 10 761 1121 90
C90 c3 60 55 10 21 381 90
C91 c3 60 60 10 763 1123 90
C92 c3 67 85 20 309 669 90
C93 c1 65 85 40 401 761 90
C94 c1 65 82 10 215 575 90
C95 c3 62 80 30 122 482 90
C96 c1 60 80 10 37 397 90
C97 c3 60 85 30 496 856 90
C98 c1 58 75 20 34 394 90
C99 c1 55 80 10 686 1046 90
C100 c3 55 85 20 591 951 90
P0 p 52 58 0 0 1236 45
P1 p 70 26 0 0 1236 45
P2 p 49 29 0 0 1236 45
P3 p 9 60 0 0 1236 45
P4 p 75 83 0 0 1236 45
1 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 0 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 1 0 0 0
0 1 0 0 0
0 0 1 0 0
0 1 0 0 0
0 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 1 0 0 0
0 0 0 0 0
0 0 0 0 0
0 1 0 0 0
0 1 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 0 0 0 0
0 0 0 0 1
0 0 0 0 0
