StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35 0 0 230 0
Dt d 35 35 0 0 230 0
S0 f 35 35 0 0 230 0
S1 f 61 37 0 0 230 0
S2 f 74 39 0 0 230 0
S3 f 47 57 0 0 230 0
S4 f 57 65 0 0 230 0
S5 f 29 59 0 0 230 0
S6 f 34 71 0 0 230 0
S7 f 22 58 0 0 230 0
S8 f 7 61 0 0 230 0
S9 f 18 41 0 0 230 0
S10 f 5 39 0 0 230 0
S11 f 14 20 0 0 230 0
S12 f 0 26 0 0 230 0
S13 f 24 25 0 0 230 0
S14 f 26 6 0 0 230 0
S15 f 34 20 0 0 230 0
S16 f 41 5 0 0 230 0
S17 f 50 9 0 0 230 0
S18 f 61 14 0 0 230 0
S19 f 62 21 0 0 230 0
S20 f 74 30 0 0 230 0
C1 c1 41 49 10 18 64 10
C2 c1 35 17 7 40 164 10
C3 c2 55 45 13 23 197 10
C4 c2 55 20 19 93 131 10
C5 c1 15 30 26 58 199 10
C6 c2 25 30 3 35 165 10
C7 c2 20 50 5 74 112 10
C8 c1 10 43 9 27 123 10
C9 c2 55 60 16 68 187 10
C10 c2 30 60 16 120 194 10
C11 c3 20 65 12 78 168 10
C12 c2 50 35 19 160 204 10
C13 c1 30 25 23 117 208 10
C14 c1 15 10 20 33 137 10
C15 c2 30 5 8 88 150 10
C16 c1 10 20 19 30 142 10
C17 c1 5 30 2 43 113 10
C18 c3 20 40 12 93 171 10
C19 c1 15 60 17 84 187 10
C20 c1 45 65 9 32 85 10
C21 c3 45 20 11 19 142 10
C22 c2 45 10 18 27 119 10
C23 c1 55 5 29 48 183 10
C24 c2 65 35 3 111 190 10
C25 c3 65 20 6 48 130 10
C26 c1 45 30 17 119 208 10
C27 c3 35 40 16 52 215 10
C28 c1 41 37 16 101 213 10
C29 c2 64 42 9 82 162 10
C30 c3 40 60 21 118 194 10
C31 c3 31 52 27 18 202 10
C32 c3 35 69 23 96 186 10
C33 c1 53 52 11 25 165 10
C34 c1 65 55 14 81 183 10
C35 c2 63 65 8 55 178 10
C36 c2 2 60 5 81 178 10
C37 c3 20 20 8 34 198 10
C38 c1 5 5 16 56 177 10
C39 c2 60 12 31 50 186 10
C40 c1 40 25 9 12 73 10
C41 c3 42 7 5 88 191 10
C42 c1 24 12 5 131 173 10
C43 c1 23 3 7 43 185 10
C44 c1 11 14 18 78 188 10
C45 c1 6 38 16 30 190 10
C46 c2 2 48 1 74 184 10
C47 c1 8 56 27 64 185 10
C48 c2 13 52 36 78 192 10
C49 c1 6 68 30 58 152 10
C50 c3 47 47 13 95 151 10
C51 c2 49 58 10 89 193 10
C52 c3 27 43 9 47 185 10
C53 c2 37 31 14 115 215 10
C54 c3 57 29 18 47 139 10
C55 c1 63 23 2 31 185 10
C56 c1 53 12 6 30 161 10
C57 c2 32 12 7 110 196 10
C58 c1 36 26 18 74 160 10
C59 c2 21 24 28 60 152 10
C60 c2 17 34 3 19 125 10
C61 c2 12 24 13 26 194 10
C62 c3 24 58 19 26 121 10
C63 c1 27 69 10 47 185 10
C64 c2 15 77 9 95 164 10
C65 c1 62 77 20 68 136 10
C66 c3 49 73 25 53 179 10
C67 c1 67 5 25 60 162 10
C68 c3 56 39 36 22 147 10
C69 c2 37 47 6 108 204 10
C70 c1 37 56 5 23 85 10
C71 c2 57 68 15 132 180 10
C72 c1 47 16 25 54 178 10
C73 c1 44 17 9 119 163 10
C74 c1 46 13 8 25 84 10
C75 c2 49 11 18 32 96 10
C76 c3 49 42 13 103 204 10
C77 c2 53 43 14 88 200 10
C78 c2 61 52 3 32 188 10
C79 c1 57 48 23 48 142 10
C80 c1 56 37 6 42 184 10
C81 c1 55 54 26 28 105 10
C82 c2 15 47 16 124 196 10
C83 c3 14 37 11 93 198 10
C84 c3 11 31 7 47 155 10
C85 c3 16 22 41 24 196 10
C86 c2 4 18 35 147 173 10
C87 c3 28 18 26 171 171 10
C88 c2 26 52 9 78 200 10
C89 c1 26 35 15 9 133 10
C90 c1 31 67 3 87 157 10
C91 c2 15 19 1 26 160 10
C92 c1 22 22 2 41 201 10
C93 c2 18 24 22 99 137 10
