StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 960 0
Dt d 40 50 0 0 960 0
S0 f 40 50 0 0 960 0
S1 f 73 52 0 0 960 0
S2 f 90 55 0 0 960 0
S3 f 55 79 0 0 960 0
S4 f 69 89 0 0 960 0
S5 f 32 80 0 0 960 0
S6 f 39 96 0 0 960 0
S7 f 23 80 0 0 960 0
S8 f 4 83 0 0 960 0
S9 f 18 58 0 0 960 0
S10 f 1 56 0 0 960 0
S11 f 13 31 0 0 960 0
S12 f -5 38 0 0 960 0
S13 f 26 37 0 0 960 0
S14 f 28 13 0 0 960 0
S15 f 39 31 0 0 960 0
S16 f 48 11 0 0 960 0
S17 f 59 17 0 0 960 0
S18 f 73 23 0 0 960 0
S19 f 74 32 0 0 960 0
S20 f 90 44 0 0 960 0
C1 c2 25 85 20 319 401 10
C2 c3 22 75 30 31 364 10
C3 c3 22 85 10 113 683 10
C4 c3 20 80 40 746 798 10
C5 c1 20 85 20 525 909 10
C6 c2 18 75 20 142 494 10
C7 c3 15 75 20 160 218 10
C8 c1 15 80 10 381 619 10
C9 c2 10 35 20 559 869 10
C10 c1 10 40 30 382 550 10
C11 c2 8 40 40 349 573 10
C12 c1 8 45 20 841 917 10
C13 c1 5 35 10 39 263 10
C14 c1 5 45 10 126 390 10
C15 c3 2 40 20 742 874 10
C16 c2 0 40 20 94 386 10
C17 c2 0 45 20 158 314 10
C18 c1 44 5 20 720 904 10
C19 c2 42 10 40 41 302 10
C20 c3 42 15 10 218 318 10
C21 c3 40 5 10 420 744 10
C22 c2 40 15 40 568 794 10
C23 c1 38 5 30 100 558 10
C24 c1 38 15 10 129 313 10
C25 c1 35 5 20 46 240 10
C26 c3 95 30 30 673 891 10
C27 c1 95 35 20 439 892 10
C28 c1 92 30 10 67 359 10
C29 c1 90 35 10 466 656 10
C30 c1 88 30 10 389 563 10
C31 c3 88 35 20 281 899 10
C32 c2 87 30 10 79 299 10
C33 c1 85 25 10 519 898 10
C34 c1 85 35 30 48 305 10
C35 c1 67 85 20 491 905 10
C36 c1 65 85 40 457 697 10
C37 c2 65 82 10 84 540 10
C38 c1 62 80 30 38 365 10
C39 c2 60 80 10 545 913 10
C40 c1 60 85 30 508 636 10
C41 c2 58 75 20 187 447 10
C42 c3 55 80 10 545 615 10
C43 c2 55 85 20 39 490 10
C44 c1 55 82 10 369 651 10
C45 c1 20 82 10 448 912 10
C46 c3 18 80 10 628 912 10
C47 c3 2 45 10 160 478 10
C48 c2 42 5 10 46 344 10
C49 c3 42 12 10 152 384 10
C50 c1 72 35 30 741 851 10
C51 c3 55 20 19 411 673 10
C52 c3 25 30 3 425 801 10
C53 c2 20 50 5 201 453 10
C54 c2 55 60 16 504 730 10
C55 c2 30 60 16 508 934 10
C56 c2 50 35 19 69 419 10
C57 c1 30 25 23 182 390 10
C58 c3 15 10 20 399 607 10
C59 c1 10 20 19 601 829 10
C60 c1 15 60 17 27 299 10
C61 c1 45 65 9 305 934 10
C62 c1 65 35 3 80 316 10
C63 c2 65 20 6 176 576 10
C64 c3 45 30 17 612 764 10
C65 c1 35 40 16 13 163 10
C66 c3 41 37 16 474 814 10
C67 c2 64 42 9 26 285 10
C68 c3 40 60 21 609 940 10
C69 c1 31 52 27 10 249 10
C70 c1 35 69 23 391 525 10
C71 c2 65 55 14 812 898 10
C72 c2 63 65 8 226 556 10
C73 c2 2 60 5 313 387 10
C74 c3 20 20 8 791 913 10
C75 c3 5 5 16 376 512 10
C76 c1 60 12 31 43 299 10
C77 c3 23 3 7 50 341 10
C78 c2 8 56 27 183 641 10
C79 c3 6 68 30 39 272 10
C80 c2 47 47 13 215 603 10
C81 c1 49 58 10 754 934 10
C82 c1 27 43 9 488 650 10
C83 c2 37 31 14 359 627 10
C84 c2 57 29 18 642 922 10
C85 c1 63 23 2 36 546 10
C86 c1 21 24 28 423 443 10
C87 c1 12 24 13 441 441 10
C88 c1 24 58 19 460 782 10
C89 c3 67 5 25 567 897 10
C90 c3 37 47 6 63 217 10
C91 c3 49 42 13 319 679 10
C92 c3 53 43 14 491 935 10
C93 c1 61 52 3 350 404 10
C94 c2 57 48 23 690 868 10
C95 c2 56 37 6 392 786 10
C96 c3 55 54 26 319 355 10
C97 c1 4 18 35 830 854 10
C98 c2 26 52 9 175 381 10
C99 c3 26 35 15 21 129 10
C100 c3 31 67 3 528 528 10
P0 p 56 46 0 0 960 5
P1 p 29 20 0 0 960 5
P2 p 9 18 0 0 960 5
P3 p 49 42 0 0 960 5
P4 p 10 77 0 0 960 5
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
0 0 0 0 0
1 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 0 1 0 0
0 1 0 0 0
0 1 0 0 0
0 0 0 0 0
0 0 0 1 0
0 1 0 0 0
0 0 0 0 1
1 0 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
0 0 0 1 0
1 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 1
0 1 0 0 0
0 0 1 0 0
0 0 0 0 0
0 1 0 0 0
0 0 0 0 1
0 0 0 0 1
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 1 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 1 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
1 0 0 0 0
0 0 0 1 0
1 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 1 0 0 0
0 0 0 0 1
param Q := 194.58
param CV := 1000
param r := 1
param g := 0.15
param V := 1
