StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 1236.0 0.0
Dt d 40 50.0 0.0 0.0 1236.0 0.0
C1 c3 45 68.0 10.0 0.0 1127.0 90.0
C2 c3 45 70.0 30.0 0.0 1125.0 90.0
C3 c3 42 66.0 10.0 0.0 1129.0 90.0
C4 c3 42 68.0 10.0 584.0 656.0 90.0
C5 c2 42 65.0 10.0 0.0 1130.0 90.0
C6 c1 40 69.0 20.0 0.0 1127.0 90.0
C7 c3 40 66.0 20.0 0.0 1130.0 90.0
C8 c2 38 68.0 20.0 1057.0 1125.0 90.0
C9 c1 38 70.0 10.0 0.0 1125.0 90.0
C10 c1 35 66.0 10.0 779.0 845.0 90.0
C11 c1 35 69.0 10.0 0.0 1126.0 90.0
C12 c1 25 85.0 20.0 176.0 228.0 90.0
C13 c1 22 75.0 30.0 0.0 1115.0 90.0
C14 c2 22 85.0 10.0 0.0 1106.0 90.0
C15 c2 20 80.0 40.0 0.0 1109.0 90.0
C16 c3 20 85.0 40.0 358.0 416.0 90.0
C17 c2 18 75.0 20.0 0.0 1112.0 90.0
C18 c1 15 75.0 20.0 0.0 1110.0 90.0
C19 c2 15 80.0 10.0 0.0 1106.0 90.0
C20 c2 30 50.0 10.0 0.0 1136.0 90.0
C21 c1 30 52.0 20.0 0.0 1135.0 90.0
C22 c2 28 52.0 20.0 0.0 1133.0 90.0
C23 c3 28 55.0 10.0 0.0 1133.0 90.0
C24 c3 25 50.0 10.0 0.0 1131.0 90.0
C25 c3 25 52.0 40.0 0.0 1130.0 90.0
C26 c1 25 55.0 10.0 0.0 1130.0 90.0
C27 c2 23 52.0 10.0 263.0 311.0 90.0
C28 c1 23 55.0 20.0 0.0 1128.0 90.0
C29 c1 20 50.0 10.0 0.0 1126.0 90.0
C30 c2 20 55.0 10.0 0.0 1125.0 90.0
C31 c2 10 35.0 20.0 0.0 1112.0 90.0
C32 c3 10 40.0 30.0 0.0 1114.0 90.0
C33 c3 8 40.0 40.0 355.0 437.0 90.0
C34 c1 8 45.0 20.0 0.0 1113.0 90.0
C35 c2 5 35.0 10.0 655.0 725.0 90.0
C36 c1 5 45.0 10.0 0.0 1110.0 90.0
C37 c2 2 40.0 20.0 0.0 1106.0 90.0
C38 c1 0 40.0 30.0 472.0 532.0 90.0
C39 c1 0 45.0 20.0 0.0 1105.0 90.0
C40 c3 35 30.0 10.0 0.0 1125.0 90.0
C41 c1 35 32.0 10.0 0.0 1127.0 90.0
C42 c2 33 32.0 20.0 0.0 1126.0 90.0
C43 c2 33 35.0 10.0 789.0 849.0 90.0
C44 c3 32 30.0 10.0 0.0 1124.0 90.0
C45 c2 30 30.0 10.0 0.0 1123.0 90.0
C46 c3 30 32.0 30.0 0.0 1125.0 90.0
C47 c2 30 35.0 10.0 0.0 1127.0 90.0
C48 c1 28 30.0 10.0 0.0 1122.0 90.0
C49 c3 28 35.0 10.0 1011.0 1073.0 90.0
C50 c1 26 32.0 10.0 0.0 1123.0 90.0
C51 c1 25 30.0 10.0 0.0 1121.0 90.0
C52 c2 25 35.0 10.0 0.0 1124.0 90.0
C53 c1 44 5.0 20.0 0.0 1100.0 90.0
C54 c1 42 10.0 40.0 810.0 868.0 90.0
C55 c1 42 15.0 10.0 905.0 963.0 90.0
C56 c2 40 5.0 30.0 0.0 1101.0 90.0
C57 c2 40 15.0 40.0 0.0 1111.0 90.0
C58 c1 38 5.0 30.0 0.0 1100.0 90.0
C59 c1 38 15.0 10.0 66.0 124.0 90.0
C60 c3 35 5.0 20.0 0.0 1100.0 90.0
C61 c2 50 30.0 10.0 980.0 1064.0 90.0
C62 c2 50 35.0 20.0 0.0 1127.0 90.0
C63 c2 50 40.0 50.0 0.0 1131.0 90.0
C64 c1 48 30.0 10.0 0.0 1124.0 90.0
C65 c1 48 40.0 10.0 0.0 1133.0 90.0
C66 c3 47 35.0 10.0 0.0 1129.0 90.0
C67 c1 47 40.0 10.0 0.0 1133.0 90.0
C68 c2 45 30.0 10.0 0.0 1125.0 90.0
C69 c3 45 35.0 10.0 0.0 1130.0 90.0
C70 c3 95 30.0 30.0 390.0 444.0 90.0
C71 c2 95 35.0 20.0 0.0 1088.0 90.0
C72 c2 53 30.0 10.0 0.0 1122.0 90.0
C73 c2 92 30.0 10.0 0.0 1090.0 90.0
C74 c2 53 35.0 50.0 78.0 142.0 90.0
C75 c2 45 65.0 20.0 0.0 1130.0 90.0
C76 c2 90 35.0 10.0 575.0 639.0 90.0
C77 c1 88 30.0 10.0 0.0 1094.0 90.0
C78 c3 88 35.0 20.0 0.0 1095.0 90.0
C79 c2 87 30.0 10.0 0.0 1094.0 90.0
C80 c2 85 25.0 10.0 0.0 1094.0 90.0
C81 c3 85 35.0 30.0 761.0 823.0 90.0
C82 c1 75 55.0 20.0 459.0 529.0 90.0
C83 c3 72 55.0 10.0 0.0 1113.0 90.0
C84 c1 70 58.0 20.0 0.0 1114.0 90.0
C85 c3 68 60.0 30.0 0.0 1116.0 90.0
C86 c2 66 55.0 10.0 0.0 1119.0 90.0
C87 c2 65 55.0 20.0 0.0 1120.0 90.0
C88 c1 65 60.0 30.0 0.0 1119.0 90.0
C89 c1 63 58.0 10.0 0.0 1121.0 90.0
C90 c3 60 55.0 10.0 0.0 1125.0 90.0
C91 c3 60 60.0 10.0 0.0 1123.0 90.0
C92 c1 67 85.0 20.0 459.0 519.0 90.0
C93 c1 65 85.0 40.0 0.0 1102.0 90.0
C94 c1 65 82.0 10.0 0.0 1105.0 90.0
C95 c2 62 80.0 30.0 0.0 1108.0 90.0
