instance,g_best_cost,g_n_v,g_avg_time,sa_avg_cost,sa_best_cost,sa_n_v,sa_avg_time,ig_avg_cost,ig_best_cost,ig_n_v,ig_avg_time,gap
C101,367.90,5,18000.0,371.24,368.50,5,206.3,398.142667,379.578926,5,0.018,3.174
C102,353.20,5,18000.0,359.08,357.70,5,184.1,371.77299,357.033992,5,0.020367,1.086
C103,308.50,5,18000.0,323.92,317.90,5,228.9,329.129301,318.09506,5,0.020667,3.11
C104,404.80,5,18000.0,348.24,344.90,5,233.7,348.741932,343.564063,5,0.027167,-0.387
C105,350.70,5,18000.0,376.74,374.90,5,205.1,394.562879,381.610723,5,0.019333,8.814
C106,321.90,5,18000.0,337.06,321.90,5,234.5,341.927295,322.960146,5,0.015967,0.329
C107,329.30,5,18000.0,330.56,327.30,5,181.5,331.252597,327.984836,5,0.0172,0.209
C108,338.90,5,18000.0,339.76,338.80,5,222.8,340.477757,339.692171,5,0.0214,0.263
C109,370.10,5,18000.0,341.38,335.40,5,252.9,335.124303,329.804376,5,0.0239,-1.668
C201,282.20,2,18000.0,283.74,282.20,2,173.8,306.907795,285.545075,3,0.019567,1.185
C202,227.60,2,18000.0,242.02,233.50,2,188.1,261.183143,234.265008,2,0.021867,2.928
C203,257.80,2,18000.0,270.7,264.50,2,123.9,284.961325,258.439793,2,0.0211,0.248
C204,451.50,3,18000.0,277.14,274.40,2,150.1,311.644158,275.15857,2,0.0325,0.276
C205,266.10,2,13771.7,268,267.00,2,148,281.020719,269.341418,2,0.0212,1.218
C206,266.70,3,18000.0,236.14,235.00,2,159.6,251.010009,235.201796,2,0.021933,0.086
C207,321.80,3,18000.0,288.7,288.70,2,145.9,312.72227,292.071371,2,0.019333,1.168
C208,288.10,3,18000.0,288.1,288.10,3,148,322.087068,286.144122,2,0.0251,-0.679
R101,449.40,5,2991.5,455.36,453.50,5,206.4,466.059216,456.062346,6,0.016667,1.482
R102,442.10,6,18000.0,423.32,423.20,5,161.1,444.793249,429.676395,5,0.0208,1.53
R103,316.60,4,18000.0,326.32,320.50,4,144.8,346.116916,332.772888,4,0.020733,5.108
R104,416.50,4,18000.0,377.84,377.80,4,171.7,386.866392,379.273587,4,0.0239,0.39
R105,413.50,5,7903.3,414.46,413.50,5,171.5,446.038634,432.896649,5,0.0208,4.691
R106,452.30,5,18000.0,450.7,448.10,5,206.4,456.600179,450.923795,5,0.019033,0.63
R107,430.60,5,18000.0,391.32,389.00,4,189.1,401.256744,392.348284,4,0.0197,0.861
R108,576.40,5,18000.0,443.96,429.60,4,184.7,472.441597,441.780787,4,0.018633,2.835
R109,504.10,6,18000.0,486.56,479.70,5,163.7,514.24055,500.209398,5,0.0178,4.275
R110,409.40,5,18000.0,396.8,396.10,4,152.8,412.907121,400.68854,4,0.0203,1.158
R111,435.70,5,18000.0,370.94,364.10,4,230.3,373.885763,365.1014,4,0.020167,0.275
R112,387.30,4,18000.0,367.8,367.80,4,134,388.255468,376.986671,4,0.014767,2.498
R201,409.20,4,18000.0,413.14,409.20,4,156.2,428.90674,410.128,4,0.0234,0.227
R202,320.10,2,18000.0,328.46,320.20,2,156.8,347.635581,322.778036,3,0.021833,0.837
R203,333.50,2,18000.0,315.82,312.70,3,196.2,344.144415,308.572502,3,0.025233,-1.32
R204,297.10,2,18000.0,305.72,302.60,1,128.2,310.66913,297.787142,2,0.028533,0.231
R205,352.70,4,18000.0,356.64,352.70,4,158.8,383.719123,363.654645,3,0.021467,3.106
R206,437.90,3,18000.0,386.76,384.80,2,182.8,420.258653,384.765864,2,0.0265,-0.009
R207,317.00,2,18000.0,322.04,312.70,2,177.8,347.309665,332.755116,2,0.028833,6.414
R208,261.10,2,18000.0,251.2,247.20,1,144,274.038453,262.049862,2,0.032267,6.007
R209,365.40,2,18000.0,370.44,358.60,2,137.9,396.355651,364.842365,2,0.021867,1.741
R210,339.10,3,18000.0,322.34,320.20,2,168.5,345.116518,322.20874,3,0.0292,0.627
R211,421.70,2,18000.0,331.28,329.40,2,140,372.868367,338.649436,2,0.025,2.808
