StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 960 0
Dt d 40 50 0 0 960 0
S0 f 40 50 0 0 960 0
S3 f 57 82 0 0 960 0
S9 f 14 59 0 0 960 0
S15 f 39 26 0 0 960 0
C98 c1 26 52 9 218 338 10
C14 c3 5 45 10 198 318 10
C81 c3 49 58 10 784 904 10
C88 c3 24 58 19 561 681 10
C62 c2 65 35 3 138 258 10
C43 c1 55 85 20 102 222 10
C93 c2 61 52 3 317 437 10
C22 c2 40 15 40 621 741 10
C54 c1 55 60 16 557 677 10
C79 c3 6 68 30 39 159 10
P0 p 63 79 0 0 960 5
param Q := 77.75
param CV := 1000
param r := 1
param g := 0.39
param V := 1
