StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 3390.0 0.0
Dt d 40 50.0 0.0 0.0 3390.0 0.0
C17 c3 18 75.0 20.0 0.0 3266.0 90.0
C82 c3 75 55.0 20.0 508.0 668.0 90.0
C43 c2 33 35.0 10.0 27.0 187.0 90.0
C41 c3 35 32.0 10.0 0.0 3281.0 90.0
C27 c2 23 52.0 10.0 2832.0 2992.0 90.0
C99 c2 55 80.0 10.0 890.0 1050.0 90.0
C3 c1 62 69.0 10.0 130.0 290.0 90.0
C63 c3 50 40.0 50.0 1910.0 2070.0 90.0
C58 c3 38 5.0 30.0 0.0 3254.0 90.0
C73 c2 92 30.0 10.0 0.0 3244.0 90.0
C87 c1 64 46.0 20.0 0.0 3275.0 90.0
C10 c3 35 66.0 10.0 28.0 188.0 90.0
C51 c3 25 30.0 10.0 587.0 747.0 90.0
C23 c2 14 66.0 10.0 1176.0 1336.0 90.0
C76 c3 90 35.0 10.0 845.0 1005.0 90.0
P0 p 42 74.0 0.0 0.0 3390.0 45.0
param CV := 700.0 nan nan nan nan
param V := 1.0 nan nan nan nan
