StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35.0 0.0 0.0 1000.0 0.0
Dt d 35 35.0 0.0 0.0 1000.0 0.0
C79 c1 57 48.0 23.0 0.0 964.0 10.0
C44 c3 11 14.0 18.0 42.0 178.0 10.0
C23 c2 55 5.0 29.0 53.0 233.0 10.0
C38 c2 5 5.0 16.0 0.0 947.0 10.0
C25 c2 65 20.0 6.0 418.0 532.0 10.0
C41 c1 42 7.0 5.0 782.0 912.0 10.0
C70 c1 37 56.0 5.0 0.0 968.0 10.0
C85 c1 16 22.0 41.0 552.0 744.0 10.0
C87 c2 28 18.0 26.0 530.0 568.0 10.0
C46 c2 2 48.0 1.0 46.0 182.0 10.0
C61 c3 12 24.0 13.0 329.0 551.0 10.0
C48 c3 13 52.0 36.0 418.0 558.0 10.0
C42 c3 24 12.0 5.0 0.0 964.0 10.0
C72 c1 47 16.0 25.0 104.0 252.0 10.0
C11 c3 20 65.0 12.0 0.0 956.0 10.0
P0 p 40 58.0 0.0 0.0 1000.0 5.0
param CV := 1000.0 nan nan nan nan
param V := 1.0 nan nan nan nan
