StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 1236.0 0.0
Dt d 40 50.0 0.0 0.0 1236.0 0.0
C98 c1 58 75.0 20.0 181.0 247.0 90.0
C78 c1 88 35.0 20.0 667.0 731.0 90.0
C4 c3 42 68.0 10.0 584.0 656.0 90.0
C13 c1 22 75.0 30.0 1042.0 1106.0 90.0
C95 c2 62 80.0 30.0 274.0 330.0 90.0
C100 c2 55 85.0 20.0 744.0 798.0 90.0
C54 c2 42 10.0 40.0 810.0 868.0 90.0
C27 c3 23 52.0 10.0 263.0 311.0 90.0
C89 c2 63 58.0 10.0 929.0 989.0 90.0
C96 c2 60 80.0 10.0 177.0 243.0 90.0
P0 p 89 75.0 0.0 0.0 1236.0 45.0
param CV := 200.0 nan nan nan nan
param V := 1.0 nan nan nan nan
