StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 240.0 0.0
Dt d 40 50.0 0.0 0.0 240.0 0.0
C70 c1 35 69.0 23.0 83.0 113.0 10.0
C57 c2 30 25.0 23.0 27.0 57.0 10.0
C49 c3 42 12.0 10.0 85.0 115.0 10.0
C45 c2 20 82.0 10.0 53.0 83.0 10.0
C54 c3 55 60.0 16.0 170.0 200.0 10.0
C92 c2 53 43.0 14.0 140.0 170.0 10.0
C26 c1 95 30.0 30.0 121.0 151.0 10.0
C11 c3 8 40.0 40.0 86.0 116.0 10.0
C53 c1 20 50.0 5.0 0.0 210.0 10.0
C44 c3 55 82.0 10.0 36.0 66.0 10.0
P0 p 83 71.0 0.0 0.0 240.0 5.0
param CV := 200.0 nan nan nan nan
param V := 1.0 nan nan nan nan
