StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35.0 0.0 0.0 230.0 0.0
Dt d 35 35.0 0.0 0.0 230.0 0.0
C38 c1 5 5.0 16.0 113.0 123.0 10.0
C11 c3 20 65.0 12.0 55.0 65.0 10.0
C45 c3 6 38.0 16.0 125.0 135.0 10.0
C2 c1 35 17.0 7.0 0.0 202.0 10.0
C7 c2 20 50.0 5.0 88.0 98.0 10.0
C59 c3 21 24.0 28.0 101.0 111.0 10.0
C75 c1 49 11.0 18.0 0.0 192.0 10.0
C48 c1 13 52.0 36.0 147.0 157.0 10.0
C17 c2 5 30.0 2.0 87.0 97.0 10.0
C1 c2 41 49.0 10.0 36.0 46.0 10.0
C70 c1 37 56.0 5.0 49.0 59.0 10.0
C91 c1 15 19.0 1.0 87.0 97.0 10.0
C52 c3 27 43.0 9.0 111.0 121.0 10.0
C95 c1 25 24.0 20.0 140.0 150.0 10.0
C80 c2 56 37.0 6.0 108.0 118.0 10.0
P0 p 34 62.0 0.0 0.0 230.0 5.0
param CV := 200.0 nan nan nan nan
param V := 1.0 nan nan nan nan
