StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 1236.0 0.0
Dt d 40 50.0 0.0 0.0 1236.0 0.0
C1 c2 45 68.0 10.0 19.0 271.0 90.0
C2 c1 45 70.0 30.0 417.0 635.0 90.0
C3 c1 42 66.0 10.0 760.0 1034.0 90.0
C4 c2 42 68.0 10.0 476.0 764.0 90.0
C5 c3 42 65.0 10.0 823.0 1130.0 90.0
C6 c3 40 69.0 20.0 594.0 830.0 90.0
C7 c2 40 66.0 20.0 680.0 930.0 90.0
C8 c2 38 68.0 20.0 854.0 1127.0 90.0
C9 c3 38 70.0 10.0 794.0 1125.0 90.0
C10 c2 35 66.0 10.0 679.0 945.0 90.0
C11 c2 35 69.0 10.0 762.0 1048.0 90.0
C12 c1 25 85.0 20.0 96.0 308.0 90.0
C13 c3 22 75.0 30.0 858.0 1115.0 90.0
C14 c2 22 85.0 10.0 166.0 424.0 90.0
C15 c2 20 80.0 40.0 677.0 857.0 90.0
C16 c3 20 85.0 40.0 270.0 504.0 90.0
C17 c2 18 75.0 20.0 516.0 828.0 90.0
C18 c2 15 75.0 20.0 490.0 668.0 90.0
C19 c2 15 80.0 10.0 367.0 601.0 90.0
C20 c1 30 50.0 10.0 10.0 249.0 90.0
C21 c1 30 52.0 20.0 11.0 259.0 90.0
C22 c2 28 52.0 20.0 13.0 250.0 90.0
C23 c1 28 55.0 10.0 13.0 241.0 90.0
C24 c3 25 50.0 10.0 15.0 283.0 90.0
C25 c2 25 52.0 40.0 46.0 344.0 90.0
C26 c2 25 55.0 10.0 565.0 851.0 90.0
C27 c1 23 52.0 10.0 192.0 382.0 90.0
C28 c3 23 55.0 20.0 329.0 619.0 90.0
C29 c3 20 50.0 10.0 97.0 303.0 90.0
C30 c2 20 55.0 10.0 276.0 486.0 90.0
C31 c1 10 35.0 20.0 389.0 595.0 90.0
C32 c1 10 40.0 30.0 170.0 438.0 90.0
C33 c2 8 40.0 40.0 232.0 560.0 90.0
C34 c1 8 45.0 20.0 120.0 318.0 90.0
C35 c1 5 35.0 10.0 550.0 830.0 90.0
C36 c2 5 45.0 10.0 176.0 448.0 90.0
C37 c3 2 40.0 20.0 495.0 693.0 90.0
C38 c2 0 40.0 30.0 380.0 624.0 90.0
C39 c3 0 45.0 20.0 276.0 538.0 90.0
C40 c2 35 30.0 10.0 58.0 284.0 90.0
C41 c2 35 32.0 10.0 19.0 260.0 90.0
C42 c1 33 32.0 20.0 162.0 366.0 90.0
C43 c3 33 35.0 10.0 699.0 939.0 90.0
C44 c1 32 30.0 10.0 231.0 481.0 90.0
C45 c3 30 30.0 10.0 339.0 557.0 90.0
C46 c3 30 32.0 30.0 504.0 762.0 90.0
C47 c1 30 35.0 10.0 614.0 838.0 90.0
C48 c3 28 30.0 10.0 425.0 655.0 90.0
C49 c1 28 35.0 10.0 876.0 1126.0 90.0
C50 c3 26 32.0 10.0 844.0 1054.0 90.0
C51 c3 25 30.0 10.0 723.0 989.0 90.0
C52 c1 25 35.0 10.0 883.0 1124.0 90.0
C53 c3 44 5.0 20.0 324.0 624.0 90.0
C54 c1 42 10.0 40.0 724.0 954.0 90.0
C55 c1 42 15.0 10.0 817.0 1051.0 90.0
C56 c2 40 5.0 30.0 261.0 499.0 90.0
C57 c3 40 15.0 40.0 813.0 1111.0 90.0
C58 c3 38 5.0 30.0 159.0 417.0 90.0
C59 c1 38 15.0 10.0 36.0 269.0 90.0
C60 c3 35 5.0 20.0 110.0 339.0 90.0
C61 c2 50 30.0 10.0 784.0 1123.0 90.0
C62 c3 50 35.0 20.0 79.0 319.0 90.0
C63 c2 50 40.0 50.0 15.0 295.0 90.0
C64 c2 48 30.0 10.0 170.0 418.0 90.0
C65 c1 48 40.0 10.0 13.0 302.0 90.0
C66 c3 47 35.0 10.0 884.0 1129.0 90.0
C67 c1 47 40.0 10.0 13.0 312.0 90.0
C68 c1 45 30.0 10.0 254.0 520.0 90.0
C69 c3 45 35.0 10.0 344.0 620.0 90.0
C70 c3 95 30.0 30.0 309.0 525.0 90.0
C71 c3 95 35.0 20.0 387.0 637.0 90.0
C72 c1 53 30.0 10.0 828.0 1030.0 90.0
C73 c1 92 30.0 10.0 187.0 485.0 90.0
C74 c1 53 35.0 50.0 20.0 276.0 90.0
C75 c3 45 65.0 20.0 16.0 317.0 90.0
C76 c1 90 35.0 10.0 479.0 735.0 90.0
C77 c2 88 30.0 10.0 435.0 699.0 90.0
C78 c3 88 35.0 20.0 569.0 829.0 90.0
C79 c1 87 30.0 10.0 355.0 597.0 90.0
C80 c3 85 25.0 10.0 557.0 769.0 90.0
C81 c3 85 35.0 30.0 667.0 917.0 90.0
C82 c2 75 55.0 20.0 355.0 633.0 90.0
C83 c3 72 55.0 10.0 463.0 711.0 90.0
C84 c2 70 58.0 20.0 560.0 800.0 90.0
C85 c1 68 60.0 30.0 628.0 918.0 90.0
C86 c2 66 55.0 10.0 71.0 343.0 90.0
C87 c1 65 55.0 20.0 26.0 263.0 90.0
C88 c3 65 60.0 30.0 748.0 984.0 90.0
C89 c1 63 58.0 10.0 838.0 1080.0 90.0
C90 c3 60 55.0 10.0 21.0 274.0 90.0
C91 c2 60 60.0 10.0 781.0 1123.0 90.0
C92 c2 67 85.0 20.0 367.0 611.0 90.0
C93 c3 65 85.0 40.0 439.0 723.0 90.0
C94 c3 65 82.0 10.0 284.0 506.0 90.0
C95 c3 62 80.0 30.0 191.0 413.0 90.0
C96 c3 60 80.0 10.0 75.0 345.0 90.0
C97 c1 60 85.0 30.0 551.0 801.0 90.0
