StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 240.0 0.0
Dt d 40 50.0 0.0 0.0 240.0 0.0
C1 c2 25 85.0 20.0 127.0 191.0 10.0
C2 c1 22 75.0 30.0 44.0 154.0 10.0
C3 c3 22 85.0 10.0 40.0 190.0 10.0
C4 c2 20 80.0 40.0 47.0 105.0 10.0
C5 c2 20 85.0 20.0 68.0 189.0 10.0
C6 c2 18 75.0 20.0 63.0 177.0 10.0
C7 c2 15 75.0 20.0 87.0 147.0 10.0
C8 c1 15 80.0 10.0 64.0 156.0 10.0
C9 c2 10 35.0 20.0 85.0 191.0 10.0
C10 c1 10 40.0 30.0 64.0 144.0 10.0
C11 c1 8 40.0 40.0 56.0 146.0 10.0
C12 c3 8 45.0 20.0 95.0 157.0 10.0
C13 c3 5 35.0 10.0 39.0 130.0 10.0
C14 c3 5 45.0 10.0 36.0 134.0 10.0
C15 c1 2 40.0 20.0 81.0 155.0 10.0
C16 c1 0 40.0 20.0 85.0 188.0 10.0
C17 c1 0 45.0 20.0 111.0 189.0 10.0
C18 c2 44 5.0 20.0 53.0 136.0 10.0
C19 c2 42 10.0 40.0 48.0 146.0 10.0
C20 c3 42 15.0 10.0 100.0 168.0 10.0
C21 c2 40 5.0 10.0 75.0 185.0 10.0
C22 c1 40 15.0 40.0 76.0 166.0 10.0
C23 c3 38 5.0 30.0 53.0 184.0 10.0
C24 c1 38 15.0 10.0 82.0 164.0 10.0
C25 c2 35 5.0 20.0 84.0 168.0 10.0
C26 c3 95 30.0 30.0 75.0 165.0 10.0
C27 c3 95 35.0 20.0 75.0 172.0 10.0
C28 c2 92 30.0 10.0 72.0 174.0 10.0
C29 c1 90 35.0 10.0 92.0 177.0 10.0
C30 c1 88 30.0 10.0 96.0 178.0 10.0
C31 c1 88 35.0 20.0 68.0 179.0 10.0
C32 c2 87 30.0 10.0 67.0 157.0 10.0
C33 c3 85 25.0 10.0 66.0 178.0 10.0
C34 c3 85 35.0 30.0 85.0 182.0 10.0
C35 c3 67 85.0 20.0 59.0 185.0 10.0
C36 c2 65 85.0 40.0 57.0 151.0 10.0
C37 c2 65 82.0 10.0 56.0 189.0 10.0
C38 c2 62 80.0 30.0 50.0 160.0 10.0
C39 c1 60 80.0 10.0 56.0 174.0 10.0
C40 c1 60 85.0 30.0 116.0 189.0 10.0
C41 c1 58 75.0 20.0 76.0 174.0 10.0
C42 c1 55 80.0 10.0 34.0 96.0 10.0
C43 c3 55 85.0 20.0 56.0 188.0 10.0
C44 c3 55 82.0 10.0 36.0 138.0 10.0
C45 c2 20 82.0 10.0 38.0 174.0 10.0
C46 c3 18 80.0 10.0 90.0 192.0 10.0
C47 c2 2 45.0 10.0 39.0 148.0 10.0
C48 c3 42 5.0 10.0 79.0 184.0 10.0
C49 c3 42 12.0 10.0 54.0 146.0 10.0
C50 c2 72 35.0 30.0 125.0 194.0 10.0
C51 c2 55 20.0 19.0 98.0 196.0 10.0
C52 c3 25 30.0 3.0 25.0 145.0 10.0
C53 c1 20 50.0 5.0 20.0 116.0 10.0
C54 c3 55 60.0 16.0 120.0 211.0 10.0
C55 c1 30 60.0 16.0 15.0 144.0 10.0
C56 c3 50 35.0 19.0 91.0 205.0 10.0
C57 c2 30 25.0 23.0 27.0 115.0 10.0
C58 c2 15 10.0 20.0 56.0 144.0 10.0
C59 c2 10 20.0 19.0 50.0 142.0 10.0
C60 c1 15 60.0 17.0 103.0 203.0 10.0
C61 c1 45 65.0 9.0 47.0 214.0 10.0
C62 c3 65 35.0 3.0 30.0 123.0 10.0
C63 c3 65 20.0 6.0 40.0 164.0 10.0
C64 c2 45 30.0 17.0 42.0 118.0 10.0
C65 c3 35 40.0 16.0 12.0 89.0 10.0
C66 c2 41 37.0 16.0 14.0 126.0 10.0
C67 c2 64 42.0 9.0 107.0 204.0 10.0
C68 c2 40 60.0 21.0 59.0 169.0 10.0
C69 c2 31 52.0 27.0 10.0 104.0 10.0
C70 c1 35 69.0 23.0 61.0 135.0 10.0
C71 c3 65 55.0 14.0 33.0 97.0 10.0
C72 c2 63 65.0 8.0 66.0 176.0 10.0
C73 c2 2 60.0 5.0 79.0 141.0 10.0
C74 c3 20 20.0 8.0 98.0 170.0 10.0
C75 c1 5 5.0 16.0 65.0 139.0 10.0
C76 c3 60 12.0 31.0 55.0 152.0 10.0
C77 c3 23 3.0 7.0 65.0 168.0 10.0
C78 c1 8 56.0 27.0 33.0 168.0 10.0
C79 c2 6 68.0 30.0 39.0 131.0 10.0
