StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 1236.0 0.0
Dt d 40 50.0 0.0 0.0 1236.0 0.0
C1 c3 45 68.0 10.0 78.0 140.0 90.0
C2 c2 45 70.0 30.0 499.0 553.0 90.0
C3 c3 42 66.0 10.0 863.0 931.0 90.0
C4 c2 42 68.0 10.0 584.0 656.0 90.0
C5 c2 42 65.0 10.0 950.0 1026.0 90.0
C6 c1 40 69.0 20.0 683.0 741.0 90.0
C7 c1 40 66.0 20.0 774.0 836.0 90.0
C8 c1 38 68.0 20.0 1057.0 1125.0 90.0
C9 c1 38 70.0 10.0 958.0 1040.0 90.0
C10 c3 35 66.0 10.0 779.0 845.0 90.0
C11 c1 35 69.0 10.0 869.0 941.0 90.0
C12 c1 25 85.0 20.0 176.0 228.0 90.0
C13 c3 22 75.0 30.0 1042.0 1106.0 90.0
C14 c1 22 85.0 10.0 263.0 327.0 90.0
C15 c1 20 80.0 40.0 745.0 789.0 90.0
C16 c2 20 85.0 40.0 358.0 416.0 90.0
C17 c1 18 75.0 20.0 633.0 711.0 90.0
C18 c1 15 75.0 20.0 557.0 601.0 90.0
C19 c1 15 80.0 10.0 455.0 513.0 90.0
C20 c2 30 50.0 10.0 10.0 70.0 90.0
C21 c3 30 52.0 20.0 11.0 73.0 90.0
C22 c2 28 52.0 20.0 73.0 131.0 90.0
C23 c2 28 55.0 10.0 13.0 70.0 90.0
C24 c1 25 50.0 10.0 72.0 138.0 90.0
C25 c2 25 52.0 40.0 158.0 232.0 90.0
C26 c2 25 55.0 10.0 672.0 744.0 90.0
C27 c1 23 52.0 10.0 263.0 311.0 90.0
C28 c1 23 55.0 20.0 438.0 510.0 90.0
C29 c1 20 50.0 10.0 174.0 226.0 90.0
C30 c1 20 55.0 10.0 355.0 407.0 90.0
C31 c2 10 35.0 20.0 467.0 517.0 90.0
C32 c1 10 40.0 30.0 271.0 337.0 90.0
C33 c2 8 40.0 40.0 355.0 437.0 90.0
C34 c2 8 45.0 20.0 194.0 244.0 90.0
C35 c3 5 35.0 10.0 655.0 725.0 90.0
C36 c3 5 45.0 10.0 278.0 346.0 90.0
C37 c2 2 40.0 20.0 569.0 619.0 90.0
C38 c2 0 40.0 30.0 472.0 532.0 90.0
C39 c3 0 45.0 20.0 374.0 440.0 90.0
C40 c2 35 30.0 10.0 143.0 199.0 90.0
C41 c2 35 32.0 10.0 49.0 109.0 90.0
C42 c1 33 32.0 20.0 239.0 289.0 90.0
C43 c2 33 35.0 10.0 789.0 849.0 90.0
C44 c3 32 30.0 10.0 325.0 387.0 90.0
C45 c1 30 30.0 10.0 421.0 475.0 90.0
C46 c3 30 32.0 30.0 601.0 665.0 90.0
C47 c1 30 35.0 10.0 698.0 754.0 90.0
C48 c2 28 30.0 10.0 511.0 569.0 90.0
C49 c2 28 35.0 10.0 1011.0 1073.0 90.0
C50 c1 26 32.0 10.0 923.0 975.0 90.0
C51 c2 25 30.0 10.0 823.0 889.0 90.0
C52 c3 25 35.0 10.0 1042.0 1102.0 90.0
C53 c1 44 5.0 20.0 437.0 511.0 90.0
C54 c2 42 10.0 40.0 810.0 868.0 90.0
C55 c1 42 15.0 10.0 905.0 963.0 90.0
C56 c1 40 5.0 30.0 350.0 410.0 90.0
C57 c1 40 15.0 40.0 989.0 1063.0 90.0
C58 c3 38 5.0 30.0 256.0 320.0 90.0
C59 c1 38 15.0 10.0 66.0 124.0 90.0
C60 c1 35 5.0 20.0 167.0 223.0 90.0
C61 c3 50 30.0 10.0 980.0 1064.0 90.0
C62 c2 50 35.0 20.0 169.0 229.0 90.0
C63 c3 50 40.0 50.0 15.0 85.0 90.0
C64 c2 48 30.0 10.0 263.0 325.0 90.0
C65 c2 48 40.0 10.0 67.0 139.0 90.0
C66 c2 47 35.0 10.0 1068.0 1129.0 90.0
C67 c2 47 40.0 10.0 13.0 88.0 90.0
C68 c3 45 30.0 10.0 354.0 420.0 90.0
C69 c2 45 35.0 10.0 448.0 516.0 90.0
C70 c3 95 30.0 30.0 390.0 444.0 90.0
C71 c2 95 35.0 20.0 481.0 543.0 90.0
C72 c3 53 30.0 10.0 904.0 954.0 90.0
C73 c3 92 30.0 10.0 287.0 361.0 90.0
C74 c1 53 35.0 50.0 78.0 142.0 90.0
C75 c1 45 65.0 20.0 16.0 91.0 90.0
C76 c2 90 35.0 10.0 575.0 639.0 90.0
C77 c3 88 30.0 10.0 534.0 600.0 90.0
C78 c1 88 35.0 20.0 667.0 731.0 90.0
C79 c1 87 30.0 10.0 446.0 506.0 90.0
C80 c3 85 25.0 10.0 637.0 689.0 90.0
C81 c2 85 35.0 30.0 761.0 823.0 90.0
C82 c2 75 55.0 20.0 459.0 529.0 90.0
C83 c3 72 55.0 10.0 556.0 618.0 90.0
C84 c2 70 58.0 20.0 650.0 710.0 90.0
C85 c1 68 60.0 30.0 737.0 809.0 90.0
C86 c3 66 55.0 10.0 173.0 241.0 90.0
C87 c2 65 55.0 20.0 87.0 145.0 90.0
C88 c1 65 60.0 30.0 837.0 895.0 90.0
C89 c3 63 58.0 10.0 929.0 989.0 90.0
C90 c3 60 55.0 10.0 21.0 84.0 90.0
C91 c3 60 60.0 10.0 1010.0 1096.0 90.0
C92 c2 67 85.0 20.0 459.0 519.0 90.0
C93 c3 65 85.0 40.0 546.0 616.0 90.0
C94 c3 65 82.0 10.0 367.0 423.0 90.0
C95 c1 62 80.0 30.0 274.0 330.0 90.0
C96 c2 60 80.0 10.0 177.0 243.0 90.0
C97 c2 60 85.0 30.0 645.0 707.0 90.0
