StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35 0 0 1000 0
Dt d 35 35 0 0 1000 0
S0 f 35 35 0 0 1000 0
S1 f 61 37 0 0 1000 0
S2 f 74 39 0 0 1000 0
S3 f 47 57 0 0 1000 0
S4 f 57 65 0 0 1000 0
S5 f 29 59 0 0 1000 0
S6 f 34 71 0 0 1000 0
S7 f 22 58 0 0 1000 0
S8 f 7 61 0 0 1000 0
S9 f 18 41 0 0 1000 0
S10 f 5 39 0 0 1000 0
S11 f 14 20 0 0 1000 0
S12 f 0 26 0 0 1000 0
S13 f 24 25 0 0 1000 0
S14 f 26 6 0 0 1000 0
S15 f 34 20 0 0 1000 0
S16 f 41 5 0 0 1000 0
S17 f 50 9 0 0 1000 0
S18 f 61 14 0 0 1000 0
S19 f 62 21 0 0 1000 0
S20 f 74 30 0 0 1000 0
C1 c1 41 49 10 16 102 10
C2 c2 35 17 7 18 166 10
C3 c3 55 45 13 0 967 10
C4 c1 55 20 19 0 965 10
C5 c1 15 30 26 21 182 10
C6 c1 25 30 3 0 978 10
C7 c2 20 50 5 32 110 10
C8 c1 10 43 9 0 963 10
C9 c1 55 60 16 558 700 10
C10 c1 30 60 16 585 691 10
C11 c1 20 65 12 0 956 10
C12 c2 50 35 19 850 934 10
C13 c1 30 25 23 12 133 10
C14 c2 15 10 20 0 957 10
C15 c3 30 5 8 861 959 10
C16 c3 10 20 19 527 665 10
C17 c2 5 30 2 0 959 10
C18 c3 20 40 12 403 513 10
C19 c1 15 60 17 0 957 10
C20 c2 45 65 9 679 769 10
C21 c2 45 20 11 67 213 10
C22 c3 45 10 18 0 963 10
C23 c1 55 5 29 94 274 10
C24 c3 65 35 3 0 960 10
C25 c1 65 20 6 69 183 10
C26 c1 45 30 17 0 978 10
C27 c3 35 40 16 299 477 10
C28 c3 41 37 16 0 983 10
C29 c2 64 42 9 847 960 10
C30 c3 40 60 21 0 964 10
C31 c1 31 52 27 0 972 10
C32 c1 35 69 23 0 956 10
C33 c1 53 52 11 249 409 10
C34 c3 65 55 14 0 953 10
C35 c3 63 65 8 0 948 10
C36 c2 2 60 5 823 948 10
C37 c3 20 20 8 0 968 10
C38 c1 5 5 16 0 947 10
C39 c3 60 12 31 284 440 10
C40 c2 40 25 9 0 978 10
C41 c1 42 7 5 782 912 10
C42 c3 24 12 5 0 964 10
C43 c1 23 3 7 0 955 10
C44 c1 11 14 18 0 958 10
C45 c2 6 38 16 779 960 10
C46 c2 2 48 1 58 194 10
C47 c2 8 56 27 619 763 10
C48 c2 13 52 36 0 962 10
C49 c1 6 68 30 0 946 10
C50 c3 47 47 13 507 599 10
C51 c1 49 58 10 0 963 10
C52 c1 27 43 9 0 978 10
C53 c3 37 31 14 0 985 10
C54 c2 57 29 18 23 144 10
C55 c3 63 23 2 420 590 10
C56 c1 53 12 6 0 960 10
C57 c1 32 12 7 0 966 10
C58 c2 36 26 18 0 980 10
C59 c3 21 24 28 18 140 10
C60 c2 17 34 3 589 721 10
C61 c3 12 24 13 329 551 10
C62 c3 24 58 19 840 964 10
C63 c1 27 69 10 779 943 10
C64 c2 15 77 9 719 821 10
C65 c3 62 77 20 113 215 10
C66 c1 49 73 25 602 752 10
C67 c3 67 5 25 0 946 10
C68 c2 56 39 36 0 968 10
C69 c1 37 47 6 0 977 10
C70 c1 37 56 5 0 968 10
C71 c1 57 68 15 0 950 10
C72 c1 47 16 25 0 967 10
C73 c1 44 17 9 0 969 10
C74 c1 46 13 8 0 965 10
C75 c3 49 11 18 0 962 10
C76 c2 49 42 13 222 350 10
C77 c3 53 43 14 86 224 10
C78 c1 61 52 3 230 408 10
C79 c3 57 48 23 0 964 10
C80 c3 56 37 6 0 968 10
C81 c3 55 54 26 28 138 10
C82 c3 15 47 16 697 803 10
C83 c3 14 37 11 545 677 10
C84 c1 11 31 7 0 965 10
C85 c1 16 22 41 0 966 10
C86 c1 4 18 35 877 947 10
C87 c3 28 18 26 530 568 10
C88 c1 26 52 9 0 970 10
C89 c3 26 35 15 0 981 10
C90 c2 31 67 3 532 636 10
C91 c3 15 19 1 463 617 10
C92 c2 22 22 2 223 399 10
C93 c1 18 24 22 0 969 10
C94 c3 26 27 27 534 642 10
C95 c3 25 24 20 15 179 10
C96 c2 22 27 11 0 974 10
C97 c2 25 21 12 566 636 10
