StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 240 0
Dt d 40 50 0 0 240 0
S0 f 40 50 0 0 240 0
S1 f 73 52 0 0 240 0
S2 f 90 55 0 0 240 0
S3 f 55 79 0 0 240 0
S4 f 69 89 0 0 240 0
S5 f 32 80 0 0 240 0
S6 f 39 96 0 0 240 0
S7 f 23 80 0 0 240 0
S8 f 4 83 0 0 240 0
S9 f 18 58 0 0 240 0
S10 f 1 56 0 0 240 0
S11 f 13 31 0 0 240 0
S12 f -5 38 0 0 240 0
S13 f 26 37 0 0 240 0
S14 f 28 13 0 0 240 0
S15 f 39 31 0 0 240 0
S16 f 48 11 0 0 240 0
S17 f 59 17 0 0 240 0
S18 f 73 23 0 0 240 0
S19 f 74 32 0 0 240 0
S20 f 90 44 0 0 240 0
C1 c3 25 85 20 161 191 10
C2 c3 22 75 30 0 199 10
C3 c1 22 85 10 0 190 10
C4 c1 20 80 40 61 91 10
C5 c3 20 85 20 0 189 10
C6 c1 18 75 20 0 196 10
C7 c3 15 75 20 102 132 10
C8 c2 15 80 10 95 125 10
C9 c1 10 35 20 0 196 10
C10 c1 10 40 30 0 198 10
C11 c3 8 40 40 0 196 10
C12 c3 8 45 20 111 141 10
C13 c1 5 35 10 0 191 10
C14 c1 5 45 10 0 194 10
C15 c2 2 40 20 103 133 10
C16 c3 0 40 20 154 184 10
C17 c1 0 45 20 159 189 10
C18 c2 44 5 20 0 184 10
C19 c3 42 10 40 0 189 10
C20 c2 42 15 10 119 149 10
C21 c2 40 5 10 0 185 10
C22 c3 40 15 40 0 195 10
C23 c3 38 5 30 0 184 10
C24 c3 38 15 10 0 194 10
C25 c2 35 5 20 0 184 10
C26 c3 95 30 30 0 171 10
C27 c1 95 35 20 142 172 10
C28 c3 92 30 10 0 174 10
C29 c2 90 35 10 128 158 10
C30 c2 88 30 10 129 159 10
C31 c1 88 35 20 0 179 10
C32 c1 87 30 10 0 178 10
C33 c2 85 25 10 0 178 10
C34 c1 85 35 30 0 182 10
C35 c3 67 85 20 0 185 10
C36 c2 65 85 40 57 87 10
C37 c2 65 82 10 56 86 10
C38 c1 62 80 30 90 120 10
C39 c3 60 80 10 100 130 10
C40 c2 60 85 30 157 187 10
C41 c2 58 75 20 110 140 10
C42 c1 55 80 10 34 64 10
C43 c1 55 85 20 0 191 10
C44 c1 55 82 10 36 66 10
C45 c3 20 82 10 0 192 10
C46 c1 18 80 10 129 159 10
C47 c1 2 45 10 0 191 10
C48 c3 42 5 10 0 184 10
C49 c3 42 12 10 0 191 10
C50 c2 72 35 30 0 194 10
C51 c3 55 20 19 0 196 10
C52 c2 25 30 3 58 88 10
C53 c2 20 50 5 0 210 10
