StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35 0 0 230 0
Dt d 35 35 0 0 230 0
S0 f 35 35 0 0 230 0
S5 f 28 62 0 0 230 0
S17 f 51 7 0 0 230 0
S18 f 63 12 0 0 230 0
C31 c3 31 52 27 25 35 10
C23 c3 55 5 29 97 107 10
C67 c3 67 5 25 0 176 10
C60 c1 17 34 3 0 201 10
C88 c2 26 52 9 166 176 10
C77 c1 53 43 14 150 160 10
C20 c2 45 65 9 77 87 10
C99 c1 20 26 9 138 148 10
C12 c3 50 35 19 177 187 10
C21 c2 45 20 11 0 201 10
P0 p 45 47 0 0 230 5
param Q := 60.63
param CV := 200
param r := 1
param g := 0.49
param V := 1
