StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 240 0
Dt d 40 50 0 0 240 0
S0 f 40 50 0 0 240 0
S1 f 77 52 0 0 240 0
S15 f 39 26 0 0 240 0
S19 f 77 30 0 0 240 0
C70 c1 35 69 23 83 113 10
C57 c2 30 25 23 27 57 10
C49 c3 42 12 10 85 115 10
C45 c2 20 82 10 53 83 10
C54 c3 55 60 16 170 200 10
C92 c2 53 43 14 140 170 10
C26 c1 95 30 30 121 151 10
C11 c3 8 40 40 86 116 10
C53 c1 20 50 5 0 210 10
C44 c3 55 82 10 36 66 10
P0 p 83 71 0 0 240 5
param Q := 77.75
param CV := 200
param r := 1
param g := 0.39
param V := 1
