StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 960.0 0.0
Dt d 40 50.0 0.0 0.0 960.0 0.0
C96 c3 55 54.0 26.0 319.0 355.0 10.0
C43 c3 55 85.0 20.0 39.0 490.0 10.0
C87 c2 12 24.0 13.0 441.0 441.0 10.0
C100 c2 31 67.0 3.0 528.0 528.0 10.0
C15 c1 2 40.0 20.0 607.0 739.0 10.0
C58 c2 15 10.0 20.0 198.0 406.0 10.0
C31 c2 88 35.0 20.0 71.0 689.0 10.0
C82 c3 27 43.0 9.0 488.0 650.0 10.0
C93 c3 61 52.0 3.0 350.0 404.0 10.0
C6 c1 18 75.0 20.0 142.0 494.0 10.0
P0 p 52 13.0 0.0 0.0 960.0 5.0
param CV := 1000.0 nan nan nan nan
param V := 1.0 nan nan nan nan
