StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 3390.0 0.0
Dt d 40 50.0 0.0 0.0 3390.0 0.0
C24 c3 25 50.0 10.0 2645.0 3285.0 90.0
C20 c3 30 50.0 10.0 2650.0 3290.0 90.0
C98 c2 58 75.0 20.0 79.0 719.0 90.0
C75 c2 45 65.0 20.0 939.0 1579.0 90.0
C79 c2 87 30.0 10.0 1082.0 1722.0 90.0
C88 c2 65 60.0 30.0 27.0 667.0 90.0
C31 c1 10 35.0 20.0 2020.0 2660.0 90.0
C82 c3 75 55.0 20.0 268.0 908.0 90.0
C59 c3 38 10.0 10.0 1056.0 1696.0 90.0
C22 c2 28 52.0 20.0 2647.0 3287.0 90.0
C52 c3 25 35.0 10.0 162.0 802.0 90.0
C73 c3 92 30.0 10.0 888.0 1528.0 90.0
C43 c2 33 35.0 10.0 17.0 657.0 90.0
C85 c1 86 46.0 30.0 503.0 1143.0 90.0
C7 c3 58 70.0 20.0 27.0 667.0 90.0
P0 p 56 48.0 0.0 0.0 3390.0 45.0
param CV := 700.0 nan nan nan nan
param V := 1.0 nan nan nan nan
