StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35.0 0.0 0.0 230.0 0.0
Dt d 35 35.0 0.0 0.0 230.0 0.0
C23 c3 55 5.0 29.0 87.0 117.0 10.0
C57 c2 32 12.0 7.0 166.0 196.0 10.0
C50 c3 47 47.0 13.0 108.0 138.0 10.0
C69 c1 37 47.0 6.0 141.0 171.0 10.0
C85 c3 16 22.0 41.0 83.0 113.0 10.0
C25 c2 65 20.0 6.0 156.0 186.0 10.0
C56 c3 53 12.0 6.0 48.0 78.0 10.0
C5 c2 15 30.0 26.0 153.0 183.0 10.0
C70 c2 37 56.0 5.0 39.0 69.0 10.0
C28 c2 41 37.0 16.0 183.0 213.0 10.0
C29 c1 64 42.0 9.0 107.0 137.0 10.0
C8 c3 10 43.0 9.0 27.0 57.0 10.0
C9 c3 55 60.0 16.0 72.0 102.0 10.0
C95 c2 25 24.0 20.0 130.0 160.0 10.0
C17 c3 5 30.0 2.0 77.0 107.0 10.0
P0 p 53 45.0 0.0 0.0 230.0 5.0
param CV := 200.0 nan nan nan nan
param V := 1.0 nan nan nan nan
