StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 960.0 0.0
Dt d 40 50.0 0.0 0.0 960.0 0.0
C79 c2 6 68.0 30.0 39.0 159.0 10.0
C10 c2 10 40.0 30.0 0.0 918.0 10.0
C61 c1 45 65.0 9.0 618.0 738.0 10.0
C2 c3 22 75.0 30.0 0.0 919.0 10.0
C98 c3 26 52.0 9.0 0.0 935.0 10.0
C49 c2 42 12.0 10.0 0.0 911.0 10.0
C1 c1 25 85.0 20.0 300.0 420.0 10.0
C63 c1 65 20.0 6.0 0.0 910.0 10.0
C74 c3 20 20.0 8.0 0.0 913.0 10.0
C75 c2 5 5.0 16.0 0.0 879.0 10.0
C22 c1 40 15.0 40.0 0.0 915.0 10.0
C20 c1 42 15.0 10.0 208.0 328.0 10.0
C76 c1 60 12.0 31.0 0.0 907.0 10.0
C48 c2 42 5.0 10.0 0.0 904.0 10.0
C86 c2 21 24.0 28.0 0.0 917.0 10.0
P0 p 17 71.0 0.0 0.0 960.0 5.0
param CV := 1000.0 nan nan nan nan
param V := 1.0 nan nan nan nan
