StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35.0 0.0 0.0 230.0 0.0
Dt d 35 35.0 0.0 0.0 230.0 0.0
C1 c2 41 49.0 10.0 16.0 67.0 10.0
C2 c1 35 17.0 7.0 69.0 135.0 10.0
C3 c3 55 45.0 13.0 23.0 105.0 10.0
C4 c1 55 20.0 19.0 87.0 137.0 10.0
C5 c1 15 30.0 26.0 129.0 199.0 10.0
C6 c2 25 30.0 3.0 66.0 134.0 10.0
C7 c3 20 50.0 5.0 68.0 118.0 10.0
C8 c3 10 43.0 9.0 27.0 88.0 10.0
C9 c2 55 60.0 16.0 121.0 187.0 10.0
C10 c1 30 60.0 16.0 134.0 190.0 10.0
C11 c3 20 65.0 12.0 93.0 153.0 10.0
C12 c2 50 35.0 19.0 154.0 205.0 10.0
C13 c2 30 25.0 23.0 148.0 208.0 10.0
C14 c2 15 10.0 20.0 54.0 116.0 10.0
C15 c1 30 5.0 8.0 92.0 146.0 10.0
C16 c1 10 20.0 19.0 44.0 108.0 10.0
C17 c1 5 30.0 2.0 50.0 106.0 10.0
C18 c3 20 40.0 12.0 103.0 161.0 10.0
C19 c1 15 60.0 17.0 113.0 175.0 10.0
C20 c2 45 65.0 9.0 32.0 85.0 10.0
C21 c3 45 20.0 11.0 19.0 86.0 10.0
C22 c1 45 10.0 18.0 27.0 87.0 10.0
C23 c1 55 5.0 29.0 48.0 123.0 10.0
C24 c1 65 35.0 3.0 132.0 190.0 10.0
C25 c2 65 20.0 6.0 48.0 106.0 10.0
C26 c1 45 30.0 17.0 148.0 208.0 10.0
C27 c1 35 40.0 16.0 140.0 215.0 10.0
C28 c3 41 37.0 16.0 149.0 213.0 10.0
C29 c2 64 42.0 9.0 93.0 151.0 10.0
C30 c2 40 60.0 21.0 137.0 194.0 10.0
C31 c2 31 52.0 27.0 18.0 103.0 10.0
C32 c1 35 69.0 23.0 126.0 186.0 10.0
C33 c1 53 52.0 11.0 25.0 95.0 10.0
C34 c1 65 55.0 14.0 121.0 183.0 10.0
C35 c2 63 65.0 8.0 106.0 178.0 10.0
C36 c3 2 60.0 5.0 117.0 178.0 10.0
C37 c2 20 20.0 8.0 123.0 198.0 10.0
C38 c3 5 5.0 16.0 56.0 123.0 10.0
C39 c2 60 12.0 31.0 50.0 119.0 10.0
C40 c1 40 25.0 9.0 12.0 66.0 10.0
C41 c3 42 7.0 5.0 128.0 191.0 10.0
C42 c3 24 12.0 5.0 127.0 177.0 10.0
C43 c1 23 3.0 7.0 43.0 117.0 10.0
C44 c3 11 14.0 18.0 124.0 188.0 10.0
C45 c2 6 38.0 16.0 93.0 167.0 10.0
C46 c2 2 48.0 1.0 120.0 184.0 10.0
C47 c3 8 56.0 27.0 119.0 185.0 10.0
C48 c1 13 52.0 36.0 120.0 184.0 10.0
C49 c3 6 68.0 30.0 75.0 135.0 10.0
C50 c2 47 47.0 13.0 97.0 149.0 10.0
C51 c1 49 58.0 10.0 130.0 193.0 10.0
C52 c3 27 43.0 9.0 81.0 151.0 10.0
C53 c3 37 31.0 14.0 141.0 203.0 10.0
C54 c1 57 29.0 18.0 63.0 123.0 10.0
C55 c1 63 23.0 2.0 49.0 121.0 10.0
C56 c3 53 12.0 6.0 30.0 98.0 10.0
C57 c3 32 12.0 7.0 137.0 196.0 10.0
C58 c2 36 26.0 18.0 88.0 146.0 10.0
C59 c1 21 24.0 28.0 76.0 136.0 10.0
C60 c2 17 34.0 3.0 19.0 82.0 10.0
C61 c2 12 24.0 13.0 26.0 112.0 10.0
C62 c2 24 58.0 19.0 26.0 87.0 10.0
C63 c3 27 69.0 10.0 102.0 172.0 10.0
C64 c2 15 77.0 9.0 103.0 159.0 10.0
C65 c3 62 77.0 20.0 68.0 124.0 10.0
C66 c3 49 73.0 25.0 92.0 158.0 10.0
C67 c2 67 5.0 25.0 73.0 135.0 10.0
C68 c3 56 39.0 36.0 29.0 95.0 10.0
C69 c3 37 47.0 6.0 126.0 186.0 10.0
