StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 960.0 0.0
Dt d 40 50.0 0.0 0.0 960.0 0.0
C1 c3 25 85.0 20.0 300.0 420.0 10.0
C2 c3 22 75.0 30.0 63.0 183.0 10.0
C3 c3 22 85.0 10.0 338.0 458.0 10.0
C4 c2 20 80.0 40.0 712.0 832.0 10.0
C5 c2 20 85.0 20.0 789.0 909.0 10.0
C6 c1 18 75.0 20.0 258.0 378.0 10.0
C7 c3 15 75.0 20.0 129.0 249.0 10.0
C8 c3 15 80.0 10.0 440.0 560.0 10.0
C9 c2 10 35.0 20.0 654.0 774.0 10.0
C10 c1 10 40.0 30.0 406.0 526.0 10.0
C11 c3 8 40.0 40.0 401.0 521.0 10.0
C12 c3 8 45.0 20.0 797.0 917.0 10.0
C13 c1 5 35.0 10.0 39.0 159.0 10.0
C14 c2 5 45.0 10.0 198.0 318.0 10.0
C15 c3 2 40.0 20.0 748.0 868.0 10.0
C16 c1 0 40.0 20.0 180.0 300.0 10.0
C17 c1 0 45.0 20.0 176.0 296.0 10.0
C18 c1 44 5.0 20.0 784.0 904.0 10.0
C19 c1 42 10.0 40.0 41.0 161.0 10.0
C20 c2 42 15.0 10.0 208.0 328.0 10.0
C21 c1 40 5.0 10.0 522.0 642.0 10.0
C22 c2 40 15.0 40.0 621.0 741.0 10.0
C23 c2 38 5.0 30.0 269.0 389.0 10.0
C24 c3 38 15.0 10.0 161.0 281.0 10.0
C25 c3 35 5.0 20.0 46.0 166.0 10.0
C26 c3 95 30.0 30.0 771.0 891.0 10.0
C27 c3 95 35.0 20.0 675.0 795.0 10.0
C28 c1 92 30.0 10.0 153.0 273.0 10.0
C29 c3 90 35.0 10.0 501.0 621.0 10.0
C30 c2 88 30.0 10.0 416.0 536.0 10.0
C31 c3 88 35.0 20.0 779.0 899.0 10.0
C32 c3 87 30.0 10.0 129.0 249.0 10.0
C33 c1 85 25.0 10.0 766.0 886.0 10.0
C34 c1 85 35.0 30.0 116.0 236.0 10.0
C35 c2 67 85.0 20.0 647.0 767.0 10.0
C36 c1 65 85.0 40.0 517.0 637.0 10.0
C37 c2 65 82.0 10.0 252.0 372.0 10.0
C38 c1 62 80.0 30.0 105.0 225.0 10.0
C39 c3 60 80.0 10.0 751.0 871.0 10.0
C40 c1 60 85.0 30.0 512.0 632.0 10.0
C41 c2 58 75.0 20.0 257.0 377.0 10.0
C42 c1 55 80.0 10.0 520.0 640.0 10.0
C43 c1 55 85.0 20.0 102.0 222.0 10.0
C44 c1 55 82.0 10.0 450.0 570.0 10.0
C45 c1 20 82.0 10.0 646.0 766.0 10.0
C46 c3 18 80.0 10.0 792.0 912.0 10.0
C47 c3 2 45.0 10.0 259.0 379.0 10.0
C48 c3 42 5.0 10.0 70.0 190.0 10.0
C49 c1 42 12.0 10.0 208.0 328.0 10.0
C50 c2 72 35.0 30.0 736.0 856.0 10.0
C51 c2 55 20.0 19.0 482.0 602.0 10.0
C52 c3 25 30.0 3.0 553.0 673.0 10.0
C53 c2 20 50.0 5.0 267.0 387.0 10.0
C54 c2 55 60.0 16.0 557.0 677.0 10.0
C55 c3 30 60.0 16.0 661.0 781.0 10.0
C56 c1 50 35.0 19.0 184.0 304.0 10.0
C57 c2 30 25.0 23.0 226.0 346.0 10.0
C58 c1 15 10.0 20.0 443.0 563.0 10.0
C59 c3 10 20.0 19.0 655.0 775.0 10.0
C60 c3 15 60.0 17.0 43.0 163.0 10.0
C61 c3 45 65.0 9.0 618.0 738.0 10.0
C62 c1 65 35.0 3.0 138.0 258.0 10.0
C63 c2 65 20.0 6.0 316.0 436.0 10.0
C64 c2 45 30.0 17.0 628.0 748.0 10.0
C65 c3 35 40.0 16.0 28.0 148.0 10.0
C66 c3 41 37.0 16.0 584.0 704.0 10.0
C67 c1 64 42.0 9.0 26.0 146.0 10.0
C68 c3 40 60.0 21.0 744.0 864.0 10.0
C69 c3 31 52.0 27.0 10.0 130.0 10.0
C70 c1 35 69.0 23.0 398.0 518.0 10.0
C71 c2 65 55.0 14.0 795.0 915.0 10.0
C72 c1 63 65.0 8.0 331.0 451.0 10.0
C73 c2 2 60.0 5.0 290.0 410.0 10.0
C74 c3 20 20.0 8.0 793.0 913.0 10.0
C75 c3 5 5.0 16.0 384.0 504.0 10.0
C76 c1 60 12.0 31.0 47.0 167.0 10.0
C77 c3 23 3.0 7.0 50.0 170.0 10.0
C78 c2 8 56.0 27.0 352.0 472.0 10.0
C79 c3 6 68.0 30.0 39.0 159.0 10.0
C80 c3 47 47.0 13.0 349.0 469.0 10.0
C81 c3 49 58.0 10.0 784.0 904.0 10.0
C82 c1 27 43.0 9.0 509.0 629.0 10.0
C83 c2 37 31.0 14.0 433.0 553.0 10.0
C84 c2 57 29.0 18.0 802.0 922.0 10.0
C85 c1 63 23.0 2.0 98.0 218.0 10.0
C86 c2 21 24.0 28.0 373.0 493.0 10.0
C87 c1 12 24.0 13.0 381.0 501.0 10.0
C88 c3 24 58.0 19.0 561.0 681.0 10.0
C89 c3 67 5.0 25.0 777.0 897.0 10.0
C90 c1 37 47.0 6.0 80.0 200.0 10.0
C91 c1 49 42.0 13.0 439.0 559.0 10.0
C92 c1 53 43.0 14.0 695.0 815.0 10.0
C93 c3 61 52.0 3.0 317.0 437.0 10.0
C94 c1 57 48.0 23.0 719.0 839.0 10.0
C95 c2 56 37.0 6.0 529.0 649.0 10.0
C96 c3 55 54.0 26.0 277.0 397.0 10.0
C97 c3 4 18.0 35.0 781.0 901.0 10.0
C98 c2 26 52.0 9.0 218.0 338.0 10.0
C99 c3 26 35.0 15.0 21.0 141.0 10.0
C100 c2 31 67.0 3.0 468.0 588.0 10.0
P0 p 52 5.0 0.0 0.0 960.0 5.0
P1 p 29 66.0 0.0 0.0 960.0 5.0
P2 p 37 44.0 0.0 0.0 960.0 5.0
P3 p 16 84.0 0.0 0.0 960.0 5.0
P4 p 6 12.0 0.0 0.0 960.0 5.0
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
