StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50.0 0.0 0.0 3390.0 0.0
Dt d 40 50.0 0.0 0.0 3390.0 0.0
C1 c2 52 75.0 10.0 721.0 1411.0 90.0
C2 c2 45 70.0 30.0 942.0 1386.0 90.0
C3 c1 62 69.0 10.0 30.0 889.0 90.0
C4 c2 60 66.0 10.0 26.0 985.0 90.0
C5 c3 42 65.0 10.0 802.0 1902.0 90.0
C6 c1 16 42.0 20.0 2334.0 2914.0 90.0
C7 c2 58 70.0 20.0 27.0 706.0 90.0
C8 c3 34 60.0 20.0 12.0 858.0 90.0
C9 c3 28 70.0 10.0 24.0 1306.0 90.0
C10 c2 35 66.0 10.0 17.0 810.0 90.0
C11 c3 35 69.0 10.0 20.0 972.0 90.0
C12 c1 25 85.0 20.0 394.0 782.0 90.0
C13 c3 22 75.0 30.0 32.0 760.0 90.0
C14 c3 22 85.0 10.0 312.0 1050.0 90.0
C15 c3 20 80.0 40.0 413.0 569.0 90.0
C16 c2 20 85.0 40.0 494.0 1052.0 90.0
C17 c3 18 75.0 20.0 483.0 1633.0 90.0
C18 c1 15 75.0 20.0 894.0 1036.0 90.0
C19 c2 15 80.0 10.0 592.0 1148.0 90.0
C20 c2 30 50.0 10.0 2697.0 3290.0 90.0
C21 c3 30 56.0 20.0 2626.0 3288.0 90.0
C22 c3 28 52.0 20.0 2708.0 3287.0 90.0
C23 c1 14 66.0 10.0 1000.0 1512.0 90.0
C24 c2 25 50.0 10.0 2478.0 3285.0 90.0
C25 c2 22 66.0 40.0 641.0 1675.0 90.0
C26 c3 8 62.0 10.0 879.0 1829.0 90.0
C27 c2 23 52.0 10.0 2799.0 3025.0 90.0
C28 c3 4 55.0 20.0 1183.0 2163.0 90.0
C29 c1 20 50.0 10.0 2545.0 2899.0 90.0
C30 c1 20 55.0 10.0 2625.0 3009.0 90.0
C31 c3 10 35.0 20.0 2169.0 2511.0 90.0
C32 c3 10 40.0 30.0 2121.0 2933.0 90.0
C33 c3 8 40.0 40.0 1806.0 3064.0 90.0
C34 c1 8 45.0 20.0 1630.0 1918.0 90.0
C35 c2 5 35.0 10.0 1791.0 2699.0 90.0
C36 c3 5 45.0 10.0 1444.0 2290.0 90.0
C37 c1 2 40.0 20.0 2001.0 2297.0 90.0
C38 c1 0 40.0 30.0 1740.0 2374.0 90.0
C39 c1 0 45.0 20.0 1576.0 2348.0 90.0
C40 c1 36 18.0 10.0 797.0 1299.0 90.0
C41 c2 35 32.0 10.0 19.0 626.0 90.0
C42 c2 33 32.0 20.0 127.0 457.0 90.0
C43 c2 33 35.0 10.0 17.0 625.0 90.0
C44 c1 32 20.0 10.0 613.0 1295.0 90.0
C45 c1 30 30.0 10.0 545.0 979.0 90.0
C46 c3 34 25.0 30.0 491.0 1225.0 90.0
C47 c1 30 35.0 10.0 148.0 626.0 90.0
C48 c2 36 40.0 10.0 11.0 543.0 90.0
C49 c1 48 20.0 10.0 1701.0 2377.0 90.0
C50 c3 26 32.0 10.0 387.0 763.0 90.0
C51 c1 25 30.0 10.0 269.0 1065.0 90.0
C52 c3 25 35.0 10.0 177.0 787.0 90.0
C53 c2 44 5.0 20.0 1228.0 2274.0 90.0
C54 c1 42 10.0 40.0 1580.0 2112.0 90.0
C55 c1 42 15.0 10.0 1665.0 2217.0 90.0
C56 c2 40 5.0 30.0 1359.0 1955.0 90.0
C57 c3 38 15.0 40.0 762.0 1800.0 90.0
C58 c1 38 5.0 30.0 1198.0 1932.0 90.0
C59 c1 38 10.0 10.0 1103.0 1649.0 90.0
C60 c3 35 5.0 20.0 1214.0 1730.0 90.0
C61 c2 50 30.0 10.0 1746.0 3092.0 90.0
C62 c3 50 35.0 20.0 2399.0 3001.0 90.0
C63 c2 50 40.0 50.0 1542.0 2438.0 90.0
C64 c3 48 30.0 10.0 1992.0 2662.0 90.0
C65 c1 44 25.0 10.0 1654.0 2618.0 90.0
C66 c1 47 35.0 10.0 2473.0 3113.0 90.0
C67 c1 47 40.0 10.0 1562.0 2604.0 90.0
C68 c3 42 30.0 10.0 1831.0 2631.0 90.0
C69 c1 45 35.0 10.0 2407.0 3284.0 90.0
C70 c2 95 30.0 30.0 902.0 1328.0 90.0
C71 c2 95 35.0 20.0 682.0 1358.0 90.0
C72 c2 53 30.0 10.0 2352.0 2672.0 90.0
C73 c3 92 30.0 10.0 691.0 1725.0 90.0
C74 c2 53 35.0 50.0 2249.0 2965.0 90.0
C75 c3 45 65.0 20.0 730.0 1788.0 90.0
C76 c2 90 35.0 10.0 565.0 1285.0 90.0
C77 c3 72 45.0 10.0 1301.0 2087.0 90.0
C78 c3 78 40.0 20.0 1223.0 1969.0 90.0
C79 c1 87 30.0 10.0 1090.0 1714.0 90.0
C80 c1 85 25.0 10.0 1110.0 1504.0 90.0
C81 c1 85 35.0 30.0 1157.0 1837.0 90.0
C82 c1 75 55.0 20.0 141.0 1035.0 90.0
C83 c3 72 55.0 10.0 165.0 825.0 90.0
C84 c3 70 58.0 20.0 96.0 706.0 90.0
C85 c2 86 46.0 30.0 330.0 1316.0 90.0
C86 c1 66 55.0 10.0 27.0 872.0 90.0
C87 c1 64 46.0 20.0 1503.0 2081.0 90.0
C88 c1 65 60.0 30.0 27.0 607.0 90.0
C89 c2 56 64.0 10.0 22.0 638.0 90.0
C90 c1 60 55.0 10.0 21.0 719.0 90.0
C91 c1 60 60.0 10.0 23.0 1391.0 90.0
C92 c3 67 85.0 20.0 368.0 998.0 90.0
C93 c2 42 58.0 40.0 980.0 1918.0 90.0
C94 c2 65 82.0 10.0 353.0 825.0 90.0
C95 c2 62 80.0 30.0 262.0 730.0 90.0
C96 c2 62 40.0 10.0 1476.0 2300.0 90.0
C97 c2 60 85.0 30.0 443.0 1117.0 90.0
C98 c1 58 75.0 20.0 31.0 838.0 90.0
C99 c1 55 80.0 10.0 653.0 1287.0 90.0
C100 c2 55 85.0 20.0 656.0 1094.0 90.0
P0 p 27 23.0 0.0 0.0 3390.0 45.0
P1 p 56 80.0 0.0 0.0 3390.0 45.0
P2 p 63 43.0 0.0 0.0 3390.0 45.0
P3 p 18 78.0 0.0 0.0 3390.0 45.0
P4 p 90 42.0 0.0 0.0 3390.0 45.0
0 1 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 1 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 0.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
0 0 0 0.0 1.0 nan nan nan
