StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 35 35.0 0.0 0.0 1000.0 0.0
Dt d 35 35.0 0.0 0.0 1000.0 0.0
C1 c1 41 49.0 10.0 16.0 426.0 10.0
C2 c3 35 17.0 7.0 18.0 537.0 10.0
C3 c2 55 45.0 13.0 343.0 967.0 10.0
C4 c3 55 20.0 19.0 568.0 965.0 10.0
C5 c3 15 30.0 26.0 21.0 563.0 10.0
C6 c1 25 30.0 3.0 368.0 896.0 10.0
C7 c1 20 50.0 5.0 22.0 421.0 10.0
C8 c2 10 43.0 9.0 27.0 505.0 10.0
C9 c1 55 60.0 16.0 374.0 884.0 10.0
C10 c2 30 60.0 16.0 415.0 861.0 10.0
C11 c2 20 65.0 12.0 484.0 956.0 10.0
C12 c3 50 35.0 19.0 568.0 975.0 10.0
C13 c1 30 25.0 23.0 12.0 484.0 10.0
C14 c3 15 10.0 20.0 33.0 522.0 10.0
C15 c3 30 5.0 8.0 527.0 959.0 10.0
C16 c3 10 20.0 19.0 346.0 846.0 10.0
C17 c3 5 30.0 2.0 517.0 959.0 10.0
C18 c3 20 40.0 12.0 231.0 685.0 10.0
C19 c2 15 60.0 17.0 54.0 542.0 10.0
C20 c1 45 65.0 9.0 515.0 933.0 10.0
C21 c1 45 20.0 11.0 19.0 535.0 10.0
C22 c2 45 10.0 18.0 490.0 963.0 10.0
C23 c3 55 5.0 29.0 37.0 611.0 10.0
C24 c1 65 35.0 3.0 506.0 960.0 10.0
C25 c1 65 20.0 6.0 34.0 493.0 10.0
C26 c3 45 30.0 17.0 12.0 481.0 10.0
C27 c1 35 40.0 16.0 102.0 674.0 10.0
C28 c2 41 37.0 16.0 176.0 676.0 10.0
C29 c2 64 42.0 9.0 503.0 960.0 10.0
C30 c3 40 60.0 21.0 349.0 799.0 10.0
C31 c3 31 52.0 27.0 328.0 972.0 10.0
C32 c3 35 69.0 23.0 252.0 722.0 10.0
C33 c3 53 52.0 11.0 60.0 598.0 10.0
C34 c2 65 55.0 14.0 37.0 523.0 10.0
C35 c3 63 65.0 8.0 393.0 948.0 10.0
C36 c3 2 60.0 5.0 469.0 948.0 10.0
C37 c1 20 20.0 8.0 303.0 875.0 10.0
C38 c3 5 5.0 16.0 402.0 918.0 10.0
C39 c2 60 12.0 31.0 95.0 629.0 10.0
C40 c3 40 25.0 9.0 548.0 978.0 10.0
C41 c2 42 7.0 5.0 473.0 961.0 10.0
C42 c2 24 12.0 5.0 26.0 431.0 10.0
C43 c1 23 3.0 7.0 185.0 755.0 10.0
C44 c3 11 14.0 18.0 398.0 894.0 10.0
C45 c1 6 38.0 16.0 383.0 960.0 10.0
C46 c1 2 48.0 1.0 36.0 534.0 10.0
C47 c2 8 56.0 27.0 435.0 947.0 10.0
C48 c1 13 52.0 36.0 236.0 740.0 10.0
C49 c1 6 68.0 30.0 470.0 946.0 10.0
C50 c1 47 47.0 13.0 342.0 764.0 10.0
C51 c2 49 58.0 10.0 474.0 963.0 10.0
C52 c1 27 43.0 9.0 43.0 581.0 10.0
C53 c3 37 31.0 14.0 210.0 694.0 10.0
C54 c2 57 29.0 18.0 23.0 496.0 10.0
C55 c2 63 23.0 2.0 225.0 785.0 10.0
C56 c1 53 12.0 6.0 433.0 960.0 10.0
C57 c1 32 12.0 7.0 297.0 761.0 10.0
C58 c1 36 26.0 18.0 225.0 689.0 10.0
C59 c2 21 24.0 28.0 18.0 492.0 10.0
C60 c1 17 34.0 3.0 409.0 901.0 10.0
C61 c3 12 24.0 13.0 116.0 764.0 10.0
C62 c1 24 58.0 19.0 487.0 964.0 10.0
C63 c3 27 69.0 10.0 406.0 955.0 10.0
C64 c3 15 77.0 9.0 503.0 943.0 10.0
C65 c1 62 77.0 20.0 50.0 489.0 10.0
C66 c2 49 73.0 25.0 416.0 938.0 10.0
C67 c2 67 5.0 25.0 44.0 531.0 10.0
C68 c3 56 39.0 36.0 133.0 651.0 10.0
C69 c3 37 47.0 6.0 291.0 769.0 10.0
C70 c3 37 56.0 5.0 22.0 454.0 10.0
C71 c2 57 68.0 15.0 538.0 950.0 10.0
C72 c2 47 16.0 25.0 23.0 541.0 10.0
C73 c1 44 17.0 9.0 563.0 969.0 10.0
C74 c2 46 13.0 8.0 289.0 715.0 10.0
C75 c2 49 11.0 18.0 370.0 802.0 10.0
C76 c3 49 42.0 13.0 43.0 529.0 10.0
C77 c3 53 43.0 14.0 20.0 521.0 10.0
C78 c2 61 52.0 3.0 32.0 606.0 10.0
C79 c1 57 48.0 23.0 26.0 502.0 10.0
C80 c2 56 37.0 6.0 22.0 566.0 10.0
C81 c3 55 54.0 26.0 28.0 480.0 10.0
C82 c3 15 47.0 16.0 521.0 966.0 10.0
C83 c3 14 37.0 11.0 366.0 856.0 10.0
C84 c3 11 31.0 7.0 133.0 629.0 10.0
C85 c3 16 22.0 41.0 350.0 946.0 10.0
C86 c1 4 18.0 35.0 572.0 954.0 10.0
C87 c1 28 18.0 26.0 385.0 713.0 10.0
C88 c1 26 52.0 9.0 134.0 648.0 10.0
C89 c3 26 35.0 15.0 367.0 885.0 10.0
C90 c2 31 67.0 3.0 363.0 805.0 10.0
C91 c1 15 19.0 1.0 275.0 805.0 10.0
C92 c2 22 22.0 2.0 27.0 595.0 10.0
C93 c1 18 24.0 22.0 405.0 803.0 10.0
C94 c1 26 27.0 27.0 363.0 813.0 10.0
C95 c3 25 24.0 20.0 15.0 562.0 10.0
C96 c2 22 27.0 11.0 584.0 974.0 10.0
C97 c3 25 21.0 12.0 409.0 793.0 10.0
C98 c1 19 21.0 10.0 251.0 715.0 10.0
C99 c2 20 26.0 9.0 18.0 439.0 10.0
C100 c1 18 18.0 17.0 25.0 338.0 10.0
P0 p 66 12.0 0.0 0.0 1000.0 5.0
P1 p 33 26.0 0.0 0.0 1000.0 5.0
P2 p 17 45.0 0.0 0.0 1000.0 5.0
P3 p 25 36.0 0.0 0.0 1000.0 5.0
P4 p 43 6.0 0.0 0.0 1000.0 5.0
0 0 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
0 1 0 0.0 0.0 nan nan nan
1 0 0 0.0 0.0 nan nan nan
0 0 0 1.0 0.0 nan nan nan
