StringID Type x y demand ReadyTime DueDate ServiceTime
D0 d 40 50 0 0 960 0
Dt d 40 50 0 0 960 0
S0 f 40 50 0 0 960 0
S1 f 73 52 0 0 960 0
S2 f 90 55 0 0 960 0
S3 f 55 79 0 0 960 0
S4 f 69 89 0 0 960 0
S5 f 32 80 0 0 960 0
S6 f 39 96 0 0 960 0
S7 f 23 80 0 0 960 0
S8 f 4 83 0 0 960 0
S9 f 18 58 0 0 960 0
S10 f 1 56 0 0 960 0
S11 f 13 31 0 0 960 0
S12 f -5 38 0 0 960 0
S13 f 26 37 0 0 960 0
S14 f 28 13 0 0 960 0
S15 f 39 31 0 0 960 0
S16 f 48 11 0 0 960 0
S17 f 59 17 0 0 960 0
S18 f 73 23 0 0 960 0
S19 f 74 32 0 0 960 0
S20 f 90 44 0 0 960 0
C1 c2 25 85 20 155 565 10
C2 c1 22 75 30 31 550 10
C3 c3 22 85 10 86 710 10
C4 c1 20 80 40 516 913 10
C5 c3 20 85 20 367 909 10
C6 c2 18 75 20 54 582 10
C7 c3 15 75 20 36 435 10
C8 c2 15 80 10 261 739 10
C9 c3 10 35 20 406 916 10
C10 c2 10 40 30 243 689 10
C11 c2 8 40 40 225 697 10
C12 c1 8 45 20 510 917 10
C13 c1 5 35 10 39 511 10
C14 c3 5 45 10 36 525 10
C15 c3 2 40 20 478 910 10
C16 c1 0 40 20 42 543 10
C17 c2 0 45 20 41 483 10
C18 c3 44 5 20 450 904 10
C19 c2 42 10 40 41 529 10
C20 c1 42 15 10 59 477 10
C21 c3 40 5 10 324 840 10
C22 c2 40 15 40 442 915 10
C23 c1 38 5 30 46 620 10
C24 c1 38 15 10 36 490 10
C25 c1 35 5 20 46 505 10
C26 c3 95 30 30 422 891 10
C27 c3 95 35 20 320 892 10
C28 c3 92 30 10 56 557 10
C29 c3 90 35 10 333 789 10
C30 c2 88 30 10 251 701 10
C31 c3 88 35 20 255 899 10
C32 c2 87 30 10 52 522 10
C33 c2 85 25 10 359 898 10
C34 c1 85 35 30 48 534 10
C35 c3 67 85 20 350 905 10
C36 c1 65 85 40 338 816 10
C37 c1 65 82 10 41 614 10
C38 c1 62 80 30 38 555 10
C39 c1 60 80 10 378 913 10
C40 c1 60 85 30 357 787 10
C41 c3 58 75 20 73 561 10
C42 c2 55 80 10 378 782 10
C43 c1 55 85 20 39 610 10
C44 c2 55 82 10 262 758 10
C45 c2 20 82 10 335 912 10
C46 c3 18 80 10 414 912 10
C47 c1 2 45 10 63 575 10
C48 c1 42 5 10 46 550 10
C49 c1 42 12 10 39 515 10
C50 c1 72 35 30 492 914 10
C51 c1 55 20 19 298 786 10
C52 c3 25 30 3 344 882 10
C53 c2 20 50 5 85 569 10
C54 c3 55 60 16 381 853 10
C55 c2 30 60 16 375 935 10
C56 c3 50 35 19 19 546 10
C57 c1 30 25 23 54 518 10
C58 c1 15 10 20 271 735 10
C59 c3 10 20 19 433 907 10
C60 c1 15 60 17 27 520 10
C61 c1 45 65 9 285 934 10
C62 c2 65 35 3 30 507 10
C63 c3 65 20 6 102 650 10
C64 c3 45 30 17 468 908 10
C65 c3 35 40 16 12 451 10
C66 c2 41 37 16 383 905 10
C67 c2 64 42 9 26 513 10
C68 c2 40 60 21 422 940 10
C69 c2 31 52 27 10 488 10
C70 c2 35 69 23 242 674 10
C71 c2 65 55 14 512 924 10
C72 c3 63 65 8 132 650 10
C73 c2 2 60 5 147 553 10
C74 c3 20 20 8 486 913 10
C75 c3 5 5 16 228 660 10
C76 c1 60 12 31 43 529 10
C77 c1 23 3 7 50 551 10
C78 c1 8 56 27 125 699 10
C79 c2 6 68 30 39 515 10
C80 c3 47 47 13 137 681 10
C81 c3 49 58 10 485 937 10
C82 c1 27 43 9 347 791 10
C83 c1 37 31 14 248 738 10
C84 c2 57 29 18 426 922 10
C85 c2 63 23 2 36 633 10
C86 c3 21 24 28 242 624 10
C87 c3 12 24 13 277 605 10
C88 c1 24 58 19 364 878 10
C89 c2 67 5 25 379 897 10
C90 c2 37 47 6 5 447 10
C91 c2 49 42 13 234 764 10
C92 c2 53 43 14 367 935 10
C93 c1 61 52 3 178 576 10
C94 c1 57 48 23 481 932 10
C95 c2 56 37 6 316 862 10
C96 c1 55 54 26 142 532 10
C97 c2 4 18 35 517 901 10
C98 c2 26 52 9 46 510 10
C99 c3 26 35 15 21 442 10
C100 c3 31 67 3 372 684 10
P0 p 74 41 0 0 960 5
P1 p 25 53 0 0 960 5
P2 p 38 27 0 0 960 5
P3 p 0 69 0 0 960 5
P4 p 34 14 0 0 960 5
0 0 0 1 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 0 0 1 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 0 0 0 0
0 0 0 0 0
0 1 0 0 0
0 1 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
0 1 0 0 0
0 0 0 0 0
0 1 0 0 0
0 0 0 1 0
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1 0 0
0 1 0 0 0
1 0 0 0 0
0 1 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
1 0 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 0 1 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 1 0 0
0 1 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1 0 0
1 0 0 0 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 0
0 0 0 0 1
0 1 0 0 0
0 0 1 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 1 0 0 0
0 0 1 0 0
0 1 0 0 0
param Q := 165.63
param CV := 1000
param r := 1
param g := 0.18
param V := 1
